"country","indicator","transport-mode","Unit","Date","Value"
"Australia","Electric vehicle sales share","Cars","%","2011","0.00650000013411"
"Australia","Electric vehicle sales share","Cars","%","2012","0.029999999329448"
"Australia","Electric vehicle sales share","Cars","%","2013","0.034000001847744"
"Australia","Electric vehicle sales share","Cars","%","2014","0.159999996423721"
"Australia","Electric vehicle sales share","Cars","%","2015","0.200000002980232"
"Australia","Electric vehicle sales share","Cars","%","2016","0.150000005960464"
"Australia","Electric vehicle sales share","Cars","%","2017","0.259999990463257"
"Australia","Electric vehicle sales share","Cars","%","2018","0.419999986886978"
"Australia","Electric vehicle sales share","Cars","%","2019","1.20000004768372"
"Australia","Electric vehicle sales share","Cars","%","2020","1.10000002384186"
"Australia","Electric vehicle sales share","Cars","%","2021","2.79999995231628"
"Australia","Electric vehicle sales share","Cars","%","2022","5.09999990463257"
"Australia","Electric vehicle sales share","Cars","%","2023","12"
"Australia","Electric vehicle Stock share","Cars","%","2011","0.000390000001062"
"Australia","Electric vehicle Stock share","Cars","%","2012","0.002400000113994"
"Australia","Electric vehicle Stock share","Cars","%","2013","0.004600000102073"
"Australia","Electric vehicle Stock share","Cars","%","2014","0.014000000432134"
"Australia","Electric vehicle Stock share","Cars","%","2015","0.027000000700355"
"Australia","Electric vehicle Stock share","Cars","%","2016","0.037000000476837"
"Australia","Electric vehicle Stock share","Cars","%","2017","0.052000001072884"
"Australia","Electric vehicle Stock share","Cars","%","2018","0.076999999582768"
"Australia","Electric vehicle Stock share","Cars","%","2019","0.140000000596046"
"Australia","Electric vehicle Stock share","Cars","%","2020","0.180000007152557"
"Australia","Electric vehicle Stock share","Cars","%","2021","0.319999992847443"
"Australia","Electric vehicle Stock share","Cars","%","2022","0.589999973773956"
"Australia","Electric vehicle Stock share","Cars","%","2023","1.20000004768372"
"Austria","Electric vehicle sales share","Cars","%","2013","0.200000002980232"
"Austria","Electric vehicle sales share","Cars","%","2014","0.569999992847443"
"Austria","Electric vehicle sales share","Cars","%","2015","0.899999976158142"
"Austria","Electric vehicle sales share","Cars","%","2016","1.5"
"Austria","Electric vehicle sales share","Cars","%","2017","2"
"Austria","Electric vehicle sales share","Cars","%","2018","2.59999990463257"
"Austria","Electric vehicle sales share","Cars","%","2019","3.5"
"Austria","Electric vehicle sales share","Cars","%","2020","9.5"
"Austria","Electric vehicle sales share","Cars","%","2021","20"
"Austria","Electric vehicle sales share","Cars","%","2022","22"
"Austria","Electric vehicle sales share","Cars","%","2023","26"
"Austria","Electric vehicle Stock share","Cars","%","2010","0.00789999961853"
"Austria","Electric vehicle Stock share","Cars","%","2011","0.021999999880791"
"Austria","Electric vehicle Stock share","Cars","%","2012","0.032999999821186"
"Austria","Electric vehicle Stock share","Cars","%","2013","0.052999999374151"
"Austria","Electric vehicle Stock share","Cars","%","2014","0.089000001549721"
"Austria","Electric vehicle Stock share","Cars","%","2015","0.140000000596046"
"Austria","Electric vehicle Stock share","Cars","%","2016","0.239999994635582"
"Austria","Electric vehicle Stock share","Cars","%","2017","0.379999995231628"
"Austria","Electric vehicle Stock share","Cars","%","2018","0.529999971389771"
"Austria","Electric vehicle Stock share","Cars","%","2019","0.75"
"Austria","Electric vehicle Stock share","Cars","%","2020","1.20000004768372"
"Austria","Electric vehicle Stock share","Cars","%","2021","2.09999990463257"
"Austria","Electric vehicle Stock share","Cars","%","2022","3"
"Austria","Electric vehicle Stock share","Cars","%","2023","4.40000009536743"
"Belgium","Electric vehicle sales share","Cars","%","2010","0.009999999776483"
"Belgium","Electric vehicle sales share","Cars","%","2011","0.052000001072884"
"Belgium","Electric vehicle sales share","Cars","%","2012","0.189999997615814"
"Belgium","Electric vehicle sales share","Cars","%","2013","0.119999997317791"
"Belgium","Electric vehicle sales share","Cars","%","2014","0.409999996423721"
"Belgium","Electric vehicle sales share","Cars","%","2015","0.769999980926514"
"Belgium","Electric vehicle sales share","Cars","%","2016","1.70000004768372"
"Belgium","Electric vehicle sales share","Cars","%","2017","2.59999990463257"
"Belgium","Electric vehicle sales share","Cars","%","2018","2.40000009536743"
"Belgium","Electric vehicle sales share","Cars","%","2019","3.20000004768372"
"Belgium","Electric vehicle sales share","Cars","%","2020","11"
"Belgium","Electric vehicle sales share","Cars","%","2021","18"
"Belgium","Electric vehicle sales share","Cars","%","2022","26"
