"geo","vehicle","measure","Unit","Date","Value"
"Belgium","Passenger cars","Number","","1990","3864100"
"Belgium","Passenger cars","Number","","1991","3970300"
"Belgium","Passenger cars","Number","","1992","4020900"
"Belgium","Passenger cars","Number","","1993","4109600"
"Belgium","Passenger cars","Number","","1994","4210200"
"Belgium","Passenger cars","Number","","1995","4273400"
"Belgium","Passenger cars","Number","","1996","4339200"
"Belgium","Passenger cars","Number","","1997","4415300"
"Belgium","Passenger cars","Number","","1998","4491700"
"Belgium","Passenger cars","Number","","1999","4583600"
"Belgium","Passenger cars","Number","","2000","4678400"
"Belgium","Passenger cars","Number","","2001","4739900"
"Belgium","Passenger cars","Number","","2002","4787400"
"Belgium","Passenger cars","Number","","2003","4820900"
"Belgium","Passenger cars","Number","","2004","4874400"
"Belgium","Passenger cars","Number","","2005","4918600"
"Belgium","Passenger cars","Number","","2006","4976300"
"Belgium","Passenger cars","Number","","2007","5048700"
"Belgium","Passenger cars","Number","","2008","5130600"
"Belgium","Passenger cars","Number","","2009","5192600"
"Belgium","Passenger cars","Number","","2010","5276300"
"Belgium","Passenger cars","Number","","2011","5407000"
"Belgium","Passenger cars","Number","","2012","5444000"
"Belgium","Passenger cars","Number","","2013","5493000"
"Belgium","Passenger cars","Number","","2014","5555499"
"Belgium","Passenger cars","Number","","2015","5623579"
"Belgium","Passenger cars","Number","","2016","5712061"
"Belgium","Passenger cars","Number","","2017","5776221"
"Belgium","Passenger cars","Number","","2018","5843097"
"Belgium","Passenger cars","Number","","2019","5874589"
"Belgium","Passenger cars","Number","","2020","5876817"
"Belgium","Passenger cars","Number","","2021","5916315"
"Belgium","Passenger cars","Number","","2022","5936568"
"Bulgaria","Passenger cars","Number","","2004","2438000"
"Bulgaria","Passenger cars","Number","","2005","2538000"
"Bulgaria","Passenger cars","Number","","2006","1768000"
"Bulgaria","Passenger cars","Number","","2007","2082000"
"Bulgaria","Passenger cars","Number","","2008","2366000"
"Bulgaria","Passenger cars","Number","","2009","2502000"
"Bulgaria","Passenger cars","Number","","2010","2602000"
"Bulgaria","Passenger cars","Number","","2011","2695000"
"Bulgaria","Passenger cars","Number","","2012","2807000"
"Bulgaria","Passenger cars","Number","","2013","2910200"
"Bulgaria","Passenger cars","Number","","2014","3013863"
"Bulgaria","Passenger cars","Number","","2015","3162037"
"Bulgaria","Passenger cars","Number","","2016","3143568"
"Bulgaria","Passenger cars","Number","","2017","2770615"
"Bulgaria","Passenger cars","Number","","2018","2773325"
"Bulgaria","Passenger cars","Number","","2019","2829946"
"Bulgaria","Passenger cars","Number","","2020","2866763"
"Bulgaria","Passenger cars","Number","","2021","2830464"
"Bulgaria","Passenger cars","Number","","2022","2896777"
"Czechia","Passenger cars","Number","","1990","2411300"
"Czechia","Passenger cars","Number","","1991","2483200"
"Czechia","Passenger cars","Number","","1992","2580300"
"Czechia","Passenger cars","Number","","1993","2833100"
"Czechia","Passenger cars","Number","","1994","2923900"
"Czechia","Passenger cars","Number","","1995","3043300"
"Czechia","Passenger cars","Number","","1996","3192500"
"Czechia","Passenger cars","Number","","1997","3391500"
"Czechia","Passenger cars","Number","","1998","3493000"
"Czechia","Passenger cars","Number","","1999","3439700"
"Czechia","Passenger cars","Number","","2000","3438900"
"Czechia","Passenger cars","Number","","2001","3529800"
"Czechia","Passenger cars","Number","","2002","3647100"
"Czechia","Passenger cars","Number","","2003","3706000"
"Czechia","Passenger cars","Number","","2004","3816000"
"Czechia","Passenger cars","Number","","2005","3959000"
"Czechia","Passenger cars","Number","","2006","4109000"
"Czechia","Passenger cars","Number","","2007","4280100"
"Czechia","Passenger cars","Number","","2008","4423400"
"Czechia","Passenger cars","Number","","2009","4436000"
"Czechia","Passenger cars","Number","","2010","4496000"
"Czechia","Passenger cars","Number","","2011","4582000"
"Czechia","Passenger cars","Number","","2012","4706300"
"Czechia","Passenger cars","Number","","2013","4729000"
"Czechia","Passenger cars","Number","","2014","4833386"
"Czechia","Passenger cars","Number","","2015","5115316"
"Czechia","Passenger cars","Number","","2016","5307808"
"Czechia","Passenger cars","Number","","2017","5538222"
"Czechia","Passenger cars","Number","","2018","5747913"
"Czechia","Passenger cars","Number","","2019","5924995"
"Czechia","Passenger cars","Number","","2020","6049255"
"Czechia","Passenger cars","Number","","2021","6088730"
"Czechia","Passenger cars","Number","","2022","6305934"
"Denmark","Passenger cars","Number","","1990","1590300"
"Denmark","Passenger cars","Number","","1991","1593900"
"Denmark","Passenger cars","Number","","1992","1604100"
"Denmark","Passenger cars","Number","","1993","1617700"
"Denmark","Passenger cars","Number","","1994","1611200"
"Denmark","Passenger cars","Number","","1995","1679000"
"Denmark","Passenger cars","Number","","1996","1738900"
"Denmark","Passenger cars","Number","","1997","1783100"
"Denmark","Passenger cars","Number","","1998","1817100"
"Denmark","Passenger cars","Number","","1999","1843300"
"Denmark","Passenger cars","Number","","2000","1854100"
"Denmark","Passenger cars","Number","","2001","1872600"
"Denmark","Passenger cars","Number","","2002","1888300"
"Denmark","Passenger cars","Number","","2003","1894600"
"Denmark","Passenger cars","Number","","2004","1915800"
"Denmark","Passenger cars","Number","","2005","1964682"
"Denmark","Passenger cars","Number","","2006","2020013"
"Denmark","Passenger cars","Number","","2007","2068493"
"Denmark","Passenger cars","Number","","2008","2099090"
"Denmark","Passenger cars","Number","","2009","2120322"
"Denmark","Passenger cars","Number","","2010","2163676"
"Denmark","Passenger cars","Number","","2011","2197831"
"Denmark","Passenger cars","Number","","2012","2237122"
"Denmark","Passenger cars","Number","","2013","2278121"
"Denmark","Passenger cars","Number","","2014","2329578"
"Denmark","Passenger cars","Number","","2015","2390823"
"Denmark","Passenger cars","Number","","2016","2465538"
"Denmark","Passenger cars","Number","","2017","2530047"
"Denmark","Passenger cars","Number","","2018","2594469"
"Denmark","Passenger cars","Number","","2019","2651726"
"Denmark","Passenger cars","Number","","2020","2723667"
"Denmark","Passenger cars","Number","","2021","2787553"
"Denmark","Passenger cars","Number","","2022","2801076"
"Germany","Passenger cars","Number","","1990","35502000"
"Germany","Passenger cars","Number","","1993","32652000"
"Germany","Passenger cars","Number","","1994","39765000"
"Germany","Passenger cars","Number","","1995","40404300"
"Germany","Passenger cars","Number","","1996","40987000"
"Germany","Passenger cars","Number","","1997","41372000"
"Germany","Passenger cars","Number","","1998","41673800"
"Germany","Passenger cars","Number","","1999","42323700"
"Germany","Passenger cars","Number","","2000","42423254"
"Germany","Passenger cars","Number","","2001","43772260"
"Germany","Passenger cars","Number","","2002","44383323"
"Germany","Passenger cars","Number","","2003","44657303"
"Germany","Passenger cars","Number","","2004","45022926"
"Germany","Passenger cars","Number","","2005","45375526"
"Germany","Passenger cars","Number","","2006","46090303"
"Germany","Passenger cars","Number","","2007","46569657"
"Germany","Passenger cars","Number","","2008","41183594"
"Germany","Passenger cars","Number","","2009","41321171"
"Germany","Passenger cars","Number","","2010","41737627"
"Germany","Passenger cars","Number","","2011","42301563"
"Germany","Passenger cars","Number","","2012","42929647"
"Germany","Passenger cars","Number","","2013","43397459"
"Germany","Passenger cars","Number","","2014","43851230"
"Germany","Passenger cars","Number","","2015","44403124"
"Germany","Passenger cars","Number","","2016","45071209"
"Germany","Passenger cars","Number","","2017","45803560"
"Germany","Passenger cars","Number","","2018","47095784"
"Germany","Passenger cars","Number","","2019","47715977"
"Germany","Passenger cars","Number","","2020","48248584"
"Germany","Passenger cars","Number","","2021","48540878"
"Germany","Passenger cars","Number","","2022","48763036"
"Estonia","Passenger cars","Number","","1990","241664"
"Estonia","Passenger cars","Number","","1991","261086"
"Estonia","Passenger cars","Number","","1992","283469"
"Estonia","Passenger cars","Number","","1993","317425"
"Estonia","Passenger cars","Number","","1994","337812"
"Estonia","Passenger cars","Number","","1995","382444"
"Estonia","Passenger cars","Number","","1996","406598"
"Estonia","Passenger cars","Number","","1997","427678"
"Estonia","Passenger cars","Number","","1998","450954"
"Estonia","Passenger cars","Number","","1999","458700"
"Estonia","Passenger cars","Number","","2000","463900"
"Estonia","Passenger cars","Number","","2001","407300"
"Estonia","Passenger cars","Number","","2002","400700"
"Estonia","Passenger cars","Number","","2003","434000"
"Estonia","Passenger cars","Number","","2004","471200"
"Estonia","Passenger cars","Number","","2005","493800"
"Estonia","Passenger cars","Number","","2006","554000"
"Estonia","Passenger cars","Number","","2007","523800"
"Estonia","Passenger cars","Number","","2008","551800"
"Estonia","Passenger cars","Number","","2009","545600"
"Estonia","Passenger cars","Number","","2010","552680"
"Estonia","Passenger cars","Number","","2011","574000"
"Estonia","Passenger cars","Number","","2012","602100"
"Estonia","Passenger cars","Number","","2013","628565"
"Estonia","Passenger cars","Number","","2014","652950"
"Estonia","Passenger cars","Number","","2015","676596"
"Estonia","Passenger cars","Number","","2016","703151"
"Estonia","Passenger cars","Number","","2017","725944"
"Estonia","Passenger cars","Number","","2018","746464"
"Estonia","Passenger cars","Number","","2019","794926"
"Estonia","Passenger cars","Number","","2020","808689"
"Estonia","Passenger cars","Number","","2021","825936"
"Estonia","Passenger cars","Number","","2022","849294"
"Ireland","Passenger cars","Number","","1990","796400"
"Ireland","Passenger cars","Number","","1991","836600"
"Ireland","Passenger cars","Number","","1992","858500"
"Ireland","Passenger cars","Number","","1993","891000"
"Ireland","Passenger cars","Number","","1994","939000"
"Ireland","Passenger cars","Number","","1995","990400"
"Ireland","Passenger cars","Number","","1996","1057400"
"Ireland","Passenger cars","Number","","1997","1134400"
"Ireland","Passenger cars","Number","","1998","1196900"
"Ireland","Passenger cars","Number","","1999","1269200"
"Ireland","Passenger cars","Number","","2000","1319200"
"Ireland","Passenger cars","Number","","2001","1384700"
"Ireland","Passenger cars","Number","","2002","1447900"
"Ireland","Passenger cars","Number","","2003","1507100"
"Ireland","Passenger cars","Number","","2004","1582800"
"Ireland","Passenger cars","Number","","2005","1662200"
"Ireland","Passenger cars","Number","","2006","1778900"
"Ireland","Passenger cars","Number","","2007","1882900"
"Ireland","Passenger cars","Number","","2008","1924300"
"Ireland","Passenger cars","Number","","2009","1902400"
"Ireland","Passenger cars","Number","","2010","1873000"
"Ireland","Passenger cars","Number","","2011","1962000"
"Ireland","Passenger cars","Number","","2012","1951000"
"Ireland","Passenger cars","Number","","2013","1985000"
"Ireland","Passenger cars","Number","","2014","2018180"
"Ireland","Passenger cars","Number","","2015","2059990"
"Ireland","Passenger cars","Number","","2016","2092050"
"Ireland","Passenger cars","Number","","2017","2142260"
"Ireland","Passenger cars","Number","","2018","2177390"
"Ireland","Passenger cars","Number","","2019","2248910"
"Ireland","Passenger cars","Number","","2020","2291780"
"Ireland","Passenger cars","Number","","2021","2309650"
"Ireland","Passenger cars","Number","","2022","2335030"
"Greece","Passenger cars","Number","","1990","1735500"
"Greece","Passenger cars","Number","","1991","1777500"
"Greece","Passenger cars","Number","","1992","1829100"
"Greece","Passenger cars","Number","","1993","1958500"
"Greece","Passenger cars","Number","","1994","2074100"
"Greece","Passenger cars","Number","","1995","2204800"
"Greece","Passenger cars","Number","","1996","2339400"
"Greece","Passenger cars","Number","","1997","2500100"
"Greece","Passenger cars","Number","","1998","2675676"
"Greece","Passenger cars","Number","","1999","2928881"
"Greece","Passenger cars","Number","","2000","3195065"
"Greece","Passenger cars","Number","","2001","3423704"
"Greece","Passenger cars","Number","","2002","3646069"
"Greece","Passenger cars","Number","","2003","3839549"
"Greece","Passenger cars","Number","","2004","4073511"
"Greece","Passenger cars","Number","","2005","4303129"
"Greece","Passenger cars","Number","","2006","4543016"
"Greece","Passenger cars","Number","","2007","4798530"
"Greece","Passenger cars","Number","","2008","5023944"
"Greece","Passenger cars","Number","","2009","5131960"
"Greece","Passenger cars","Number","","2010","5216873"
"Greece","Passenger cars","Number","","2011","5203591"
"Greece","Passenger cars","Number","","2012","5167557"
"Greece","Passenger cars","Number","","2013","5124208"
"Greece","Passenger cars","Number","","2014","5110873"
"Greece","Passenger cars","Number","","2015","5107620"
"Greece","Passenger cars","Number","","2016","5160056"
"Greece","Passenger cars","Number","","2017","5235928"
"Greece","Passenger cars","Number","","2018","5282695"
"Greece","Passenger cars","Number","","2019","5406551"
"Greece","Passenger cars","Number","","2020","5492176"
"Greece","Passenger cars","Number","","2021","5604192"
"Greece","Passenger cars","Number","","2022","5726012"
"Spain","Passenger cars","Number","","1990","11996000"
"Spain","Passenger cars","Number","","1991","12539000"
"Spain","Passenger cars","Number","","1992","13104000"
"Spain","Passenger cars","Number","","1993","14041000"
"Spain","Passenger cars","Number","","1994","13734000"
"Spain","Passenger cars","Number","","1995","14212000"
"Spain","Passenger cars","Number","","1996","14754000"
"Spain","Passenger cars","Number","","1997","15297000"
"Spain","Passenger cars","Number","","1998","16051000"
"Spain","Passenger cars","Number","","1999","16847000"
"Spain","Passenger cars","Number","","2000","17452000"
"Spain","Passenger cars","Number","","2001","18150000"
"Spain","Passenger cars","Number","","2002","18735000"
"Spain","Passenger cars","Number","","2003","18689000"
"Spain","Passenger cars","Number","","2004","19542000"
"Spain","Passenger cars","Number","","2005","20251000"
"Spain","Passenger cars","Number","","2006","20637000"
"Spain","Passenger cars","Number","","2007","21760000"
"Spain","Passenger cars","Number","","2008","22002585"
"Spain","Passenger cars","Number","","2009","21983485"
"Spain","Passenger cars","Number","","2010","22147455"
"Spain","Passenger cars","Number","","2011","22277244"
"Spain","Passenger cars","Number","","2012","22250000"
"Spain","Passenger cars","Number","","2013","22024538"
"Spain","Passenger cars","Number","","2014","22029512"
"Spain","Passenger cars","Number","","2015","22355549"
"Spain","Passenger cars","Number","","2016","24004934"
"Spain","Passenger cars","Number","","2017","24676557"
"Spain","Passenger cars","Number","","2018","25304190"
"Spain","Passenger cars","Number","","2019","25836586"
"Spain","Passenger cars","Number","","2020","26034347"
"Spain","Passenger cars","Number","","2021","26293882"
"Spain","Passenger cars","Number","","2022","26605478"
"France","Passenger cars","Number","","1990","27071400"
"France","Passenger cars","Number","","1991","27309700"
"France","Passenger cars","Number","","1992","27596100"
"France","Passenger cars","Number","","1993","27680600"
"France","Passenger cars","Number","","1994","27761900"
"France","Passenger cars","Number","","1995","27872200"
"France","Passenger cars","Number","","1996","28017100"
"France","Passenger cars","Number","","1997","28201400"
"France","Passenger cars","Number","","1998","28627400"
"France","Passenger cars","Number","","1999","29272200"
"France","Passenger cars","Number","","2000","29807900"
"France","Passenger cars","Number","","2001","30330500"
"France","Passenger cars","Number","","2002","30590900"
"France","Passenger cars","Number","","2003","30582700"
"France","Passenger cars","Number","","2004","30537200"
"France","Passenger cars","Number","","2005","30497000"
"France","Passenger cars","Number","","2006","31002300"
"France","Passenger cars","Number","","2007","31442700"
"France","Passenger cars","Number","","2008","31109100"
"France","Passenger cars","Number","","2009","31393700"
"France","Passenger cars","Number","","2010","32675972"
"France","Passenger cars","Number","","2011","32611510"
"France","Passenger cars","Number","","2012","32865346"
"France","Passenger cars","Number","","2013","32856502"
"France","Passenger cars","Number","","2014","33354406"
"France","Passenger cars","Number","","2015","33149895"
"France","Passenger cars","Number","","2016","37569842"
"France","Passenger cars","Number","","2017","38136818"
"France","Passenger cars","Number","","2018","38229305"
"France","Passenger cars","Number","","2019","38421218"
"France","Passenger cars","Number","","2020","38467643"
"France","Passenger cars","Number","","2021","38814659"
"France","Passenger cars","Number","","2022","38856492"
"Croatia","Passenger cars","Number","","1990","795000"
"Croatia","Passenger cars","Number","","1991","736000"
"Croatia","Passenger cars","Number","","1992","670000"
"Croatia","Passenger cars","Number","","1993","646000"
"Croatia","Passenger cars","Number","","1994","698000"
"Croatia","Passenger cars","Number","","1995","767800"
"Croatia","Passenger cars","Number","","1996","841000"
"Croatia","Passenger cars","Number","","1997","939100"
