"country","indicator","transport-mode","Unit","Date","Value"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2011","49"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2012","220"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2013","410"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2014","780"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2015","1500"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2016","2200"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2017","3400"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2018","5200"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2019","12000"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2020","17000"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2021","34000"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2022","67000"
"Australia","Electric vehicle Stock (BEV)","Cars","Number","2023","150000"
"Australia","Electric vehicle Stock (FCEV)","Cars","Number","2021","44"
"Australia","Electric vehicle Stock (FCEV)","Cars","Number","2022","100"
"Australia","Electric vehicle Stock (FCEV)","Cars","Number","2023","65"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2012","80"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2013","180"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2014","1100"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2015","2100"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2016","2800"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2017","3900"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2018","5700"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2019","8600"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2020","10000"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2021","14000"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2022","21000"
"Australia","Electric vehicle Stock (PHEV)","Cars","Number","2023","31000"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2010","350"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2011","990"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2012","1400"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2013","2100"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2014","3400"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2015","5000"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2016","9100"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2017","15000"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2018","21000"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2019","30000"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2020","45000"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2021","77000"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2022","110000"
"Austria","Electric vehicle Stock (BEV)","Cars","Number","2023","160000"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2014","3"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2015","6"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2016","13"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2017","19"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2018","24"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2019","41"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2020","45"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2021","55"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2022","62"
"Austria","Electric vehicle Stock (FCEV)","Cars","Number","2023","89"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2012","140"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2013","410"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2014","780"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2015","1500"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2016","2300"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2017","3900"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2018","5700"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2019","8000"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2020","15000"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2021","29000"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2022","42000"
"Austria","Electric vehicle Stock (PHEV)","Cars","Number","2023","61000"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2010","61"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2011","320"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2012","830"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2013","1200"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2014","2200"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2015","3300"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2016","5200"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2017","7500"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2018","11000"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2019","19000"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2020","32000"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2021","52000"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2022","90000"
"Belgium","Electric vehicle Stock (BEV)","Cars","Number","2023","190000"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2010","1"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2011","1"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2012","1"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2013","1"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2014","2"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2015","8"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2016","20"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2017","31"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2018","44"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2019","41"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2020","64"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2021","85"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2022","80"
"Belgium","Electric vehicle Stock (FCEV)","Cars","Number","2023","99"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2010","9"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2011","26"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2012","350"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2013","590"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2014","1500"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2015","3800"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2016","11000"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2017","23000"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2018","33000"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2019","41000"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2020","73000"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2021","120000"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2022","180000"
"Belgium","Electric vehicle Stock (PHEV)","Cars","Number","2023","280000"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2014","61"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2015","120"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2016","250"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2017","320"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2018","350"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2019","890"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2020","1600"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2021","4400"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2022","13000"
"Brazil","Electric vehicle Stock (BEV)","Cars","Number","2023","33000"
"Brazil","Electric vehicle Stock (FCEV)","Cars","Number","2021","1"
"Brazil","Electric vehicle Stock (FCEV)","Cars","Number","2022","3"
"Brazil","Electric vehicle Stock (FCEV)","Cars","Number","2023","3"
"Brazil","Electric vehicle Stock (PHEV)","Cars","Number","2015","28"
"Brazil","Electric vehicle Stock (PHEV)","Cars","Number","2016","75"
"Brazil","Electric vehicle Stock (PHEV)","Cars","Number","2017","360"
"Brazil","Electric vehicle Stock (PHEV)","Cars","Number","2018","700"
"Brazil","Electric vehicle Stock (PHEV)","Cars","Number","2019","2100"
"Brazil","Electric vehicle Stock (PHEV)","Cars","Number","2020","3800"
"Brazil","Electric vehicle Stock (PHEV)","Cars","Number","2021","15000"
"Brazil","Electric vehicle Stock (PHEV)","Cars","Number","2022","26000"
"Brazil","Electric vehicle Stock (PHEV)","Cars","Number","2023","59000"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2011","250"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2012","830"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2013","2400"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2014","5400"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2015","9900"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2016","15000"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2017","25000"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2018","45000"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2019","76000"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2020","130000"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2021","190000"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2022","280000"
"Canada","Electric vehicle Stock (BEV)","Cars","Number","2023","380000"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2010","5"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2011","5"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2012","5"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2013","5"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2014","5"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2015","5"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2016","5"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2017","5"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2018","5"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2019","96"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2020","130"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2021","250"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2022","300"
"Canada","Electric vehicle Stock (FCEV)","Cars","Number","2023","320"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2011","300"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2012","1600"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2013","3100"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2014","5300"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2015","7700"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2016","14000"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2017","22000"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2018","42000"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2019","60000"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2020","82000"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2021","110000"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2022","130000"
"Canada","Electric vehicle Stock (PHEV)","Cars","Number","2023","170000"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2011","6"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2012","11"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2013","16"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2014","19"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2015","32"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2016","54"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2017","170"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2018","280"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2019","440"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2020","550"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2021","820"
"Chile","Electric vehicle Stock (BEV)","Cars","Number","2022","1700"
