"country","fuel-type","type-of-vehicle","Unit","Date","Value"
"Albania","Petrol","Passenger cars","Number","1993","24000"
"Albania","Petrol","Passenger cars","Number","1994","38000"
"Albania","Petrol","Passenger cars","Number","2017","95112"
"Albania","Petrol","Passenger cars","Number","2018","95793"
"Albania","Petrol","Passenger cars","Number","2019","97330"
"Albania","Petrol","Passenger cars","Number","2020","98935"
"Albania","Petrol","Passenger cars","Number","2021","103396"
"Albania","Petrol","Passenger cars","Number","2022","108481"
"Albania","Diesel","Passenger cars","Number","1993","33000"
"Albania","Diesel","Passenger cars","Number","1994","28000"
"Albania","Diesel","Passenger cars","Number","2017","300905"
"Albania","Diesel","Passenger cars","Number","2018","335240"
"Albania","Diesel","Passenger cars","Number","2019","366379"
"Albania","Diesel","Passenger cars","Number","2020","396887"
"Albania","Diesel","Passenger cars","Number","2021","437038"
"Albania","Diesel","Passenger cars","Number","2022","471551"
"Albania","Alternative (total)","Passenger cars","Number","1993","0"
"Albania","Alternative (total)","Passenger cars","Number","1994","0"
"Albania","Alternative (total)","Passenger cars","Number","2017","21409"
"Albania","Alternative (total)","Passenger cars","Number","2018","28994"
"Albania","Alternative (total)","Passenger cars","Number","2019","35881"
"Albania","Alternative (total)","Passenger cars","Number","2020","43675"
"Albania","Alternative (total)","Passenger cars","Number","2021","52846"
"Albania","Alternative (total)","Passenger cars","Number","2022","59347"
"Austria","Petrol","Passenger cars","Number","1993","2749000"
"Austria","Petrol","Passenger cars","Number","1994","2762000"
"Austria","Petrol","Passenger cars","Number","1995","2767000"
"Austria","Petrol","Passenger cars","Number","1996","2733000"
"Austria","Petrol","Passenger cars","Number","1997","2703000"
"Austria","Petrol","Passenger cars","Number","1998","2680000"
"Austria","Petrol","Passenger cars","Number","1999","2658000"
"Austria","Petrol","Passenger cars","Number","2000","2598000"
"Austria","Petrol","Passenger cars","Number","2001","2545000"
"Austria","Petrol","Passenger cars","Number","2002","2244000"
"Austria","Petrol","Passenger cars","Number","2003","2169000"
"Austria","Petrol","Passenger cars","Number","2004","2087000"
"Austria","Petrol","Passenger cars","Number","2005","2029000"
"Austria","Petrol","Passenger cars","Number","2006","1983000"
"Austria","Petrol","Passenger cars","Number","2007","1960000"
"Austria","Petrol","Passenger cars","Number","2008","1958000"
"Austria","Petrol","Passenger cars","Number","2009","1972000"
"Austria","Petrol","Passenger cars","Number","2010","1988000"
"Austria","Petrol","Passenger cars","Number","2011","1997000"
"Austria","Petrol","Passenger cars","Number","2012","2001000"
"Austria","Petrol","Passenger cars","Number","2013","2013748"
"Austria","Petrol","Passenger cars","Number","2014","2023336"
"Austria","Petrol","Passenger cars","Number","2015","2033924"
"Austria","Petrol","Passenger cars","Number","2016","2056715"
"Austria","Petrol","Passenger cars","Number","2017","2106473"
"Austria","Petrol","Passenger cars","Number","2018","2173325"
"Austria","Petrol","Passenger cars","Number","2019","2224880"
"Austria","Petrol","Passenger cars","Number","2020","2264561"
"Austria","Petrol","Passenger cars","Number","2021","2305984"
"Austria","Petrol","Passenger cars","Number","2022","2342409"
"Austria","Diesel","Passenger cars","Number","1993","618000"
"Austria","Diesel","Passenger cars","Number","1994","717000"
"Austria","Diesel","Passenger cars","Number","1995","827000"
"Austria","Diesel","Passenger cars","Number","1996","957000"
"Austria","Diesel","Passenger cars","Number","1997","1080000"
"Austria","Diesel","Passenger cars","Number","1998","1207000"
"Austria","Diesel","Passenger cars","Number","1999","1351000"
"Austria","Diesel","Passenger cars","Number","2000","1499000"
"Austria","Diesel","Passenger cars","Number","2001","1637000"
"Austria","Diesel","Passenger cars","Number","2002","1743000"
"Austria","Diesel","Passenger cars","Number","2003","1885000"
"Austria","Diesel","Passenger cars","Number","2004","2022000"
"Austria","Diesel","Passenger cars","Number","2005","2128000"
"Austria","Diesel","Passenger cars","Number","2006","2221000"
"Austria","Diesel","Passenger cars","Number","2007","2283000"
"Austria","Diesel","Passenger cars","Number","2008","2323000"
"Austria","Diesel","Passenger cars","Number","2009","2382000"
"Austria","Diesel","Passenger cars","Number","2010","2446000"
"Austria","Diesel","Passenger cars","Number","2011","2506000"
"Austria","Diesel","Passenger cars","Number","2012","2570000"
