"country","indicator","transport-mode","Unit","Date","Value"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2012","80"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2013","100"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2014","950"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2015","1000"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2016","700"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2017","1100"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2018","1800"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2019","2900"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2020","1700"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2021","3400"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2022","5900"
"Australia","Electric vehicle sales (PHEV)","Cars","Number","2023","11000"
"Australia","Electric vehicle sales (FCEV)","Cars","Number","2021","44"
"Australia","Electric vehicle sales (FCEV)","Cars","Number","2022","15"
"Australia","Electric vehicle sales (FCEV)","Cars","Number","2023","6"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2011","49"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2012","170"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2013","190"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2014","370"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2015","760"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2016","670"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2017","1200"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2018","1800"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2019","6300"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2020","5200"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2021","17000"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2022","33000"
"Australia","Electric vehicle sales (BEV)","Cars","Number","2023","87000"
"Austria","Electric vehicle sales (PHEV)","Cars","Number","2015","1100"
"Austria","Electric vehicle sales (PHEV)","Cars","Number","2016","1200"
"Austria","Electric vehicle sales (PHEV)","Cars","Number","2017","1700"
"Austria","Electric vehicle sales (PHEV)","Cars","Number","2018","2300"
"Austria","Electric vehicle sales (PHEV)","Cars","Number","2019","2200"
"Austria","Electric vehicle sales (PHEV)","Cars","Number","2020","7600"
"Austria","Electric vehicle sales (PHEV)","Cars","Number","2021","15000"
"Austria","Electric vehicle sales (PHEV)","Cars","Number","2022","13000"
"Austria","Electric vehicle sales (PHEV)","Cars","Number","2023","17000"
"Austria","Electric vehicle sales (FCEV)","Cars","Number","2014","6"
"Austria","Electric vehicle sales (FCEV)","Cars","Number","2015","4"
"Austria","Electric vehicle sales (FCEV)","Cars","Number","2017","2"
"Austria","Electric vehicle sales (FCEV)","Cars","Number","2018","7"
"Austria","Electric vehicle sales (FCEV)","Cars","Number","2019","19"
"Austria","Electric vehicle sales (FCEV)","Cars","Number","2020","14"
"Austria","Electric vehicle sales (FCEV)","Cars","Number","2021","14"
"Austria","Electric vehicle sales (FCEV)","Cars","Number","2022","14"
"Austria","Electric vehicle sales (FCEV)","Cars","Number","2023","9"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2013","650"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2014","1700"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2015","1700"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2016","3800"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2017","5400"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2018","6800"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2019","9300"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2020","16000"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2021","33000"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2022","34000"
"Austria","Electric vehicle sales (BEV)","Cars","Number","2023","48000"
"Belgium","Electric vehicle sales (PHEV)","Cars","Number","2010","8"
"Belgium","Electric vehicle sales (PHEV)","Cars","Number","2011","16"
"Belgium","Electric vehicle sales (PHEV)","Cars","Number","2012","340"
"Belgium","Electric vehicle sales (PHEV)","Cars","Number","2013","60"
"Belgium","Electric vehicle sales (PHEV)","Cars","Number","2014","650"
"Belgium","Electric vehicle sales (PHEV)","Cars","Number","2015","2500"
"Belgium","Electric vehicle sales (PHEV)","Cars","Number","2016","7100"
