"country","manufacturer","vehicle-type","Unit","Date","Value"
"World","Anhui jac automotive","Cars","Number","2010","200730"
"World","Anhui jiangghuai","Cars","Number","2006","63343"
"World","Anhui jiangghuai","Cars","Number","2007","209880"
"World","Anhui jiangghuai","Cars","Number","2008","207711"
"World","Anhui jiangghuai","Cars","Number","2009","336979"
"World","Ashok leyland","Cars","Number","2013","638"
"World","Ashok leyland","Cars","Number","2014","430"
"World","Asia","Cars","Number","1998","0"
"World","Asia","Cars","Number","1999","0"
"World","Avtovaz","Cars","Number","1998","600000"
"World","Avtovaz","Cars","Number","1999","718000"
"World","Avtovaz","Cars","Number","2000","755997"
"World","Avtovaz","Cars","Number","2002","703040"
"World","Avtovaz","Cars","Number","2003","699888"
"World","Avtovaz","Cars","Number","2004","717985"
"World","Avtovaz","Cars","Number","2005","721492"
"World","Avtovaz","Cars","Number","2006","765627"
"World","Avtovaz","Cars","Number","2007","735897"
"World","Avtovaz","Cars","Number","2008","801563"
"World","Avtovaz","Cars","Number","2009","294737"
"World","Avtovaz","Cars","Number","2010","545767"
"World","Avtovaz","Cars","Number","2011","562347"
"World","Avtovaz","Cars","Number","2012","553232"
"World","Avtovaz","Cars","Number","2013","495013"
"World","Avtovaz","Cars","Number","2014","381964"
"World","Avtovaz-seaz","Cars","Number","2001","786008"
"World","Baic","Cars","Number","2011","33374"
"World","Baic","Cars","Number","2012","83033"
"World","Baic","Cars","Number","2013","243437"
"World","Baic","Cars","Number","2014","538027"
"World","Beijing aig (without isuzu)","Cars","Number","2001","4653"
"World","Beijing aig (without isuzu)","Cars","Number","2002","9602"
"World","Beijing automobile","Cars","Number","2006","297528"
"World","Beijing automotive","Cars","Number","2007","454272"
"World","Beijing automotive","Cars","Number","2008","446680"
"World","Beijing automotive","Cars","Number","2009","684534"
"World","Beijing automotive","Cars","Number","2010","13138"
"World","Bmw","Cars","Number","2000","834628"
"World","Bmw","Cars","Number","2001","946730"
"World","Bmw","Cars","Number","2002","1090258"
"World","Bmw","Cars","Number","2003","1118940"
"World","Bmw","Cars","Number","2004","1250345"
"World","Bmw","Cars","Number","2005","1323119"
"World","Bmw","Cars","Number","2006","1366838"
"World","Bmw","Cars","Number","2007","1541503"
"World","Bmw","Cars","Number","2008","1439918"
"World","Bmw","Cars","Number","2009","1258417"
"World","Bmw","Cars","Number","2010","1481253"
"World","Bmw","Cars","Number","2011","1738160"
"World","Bmw","Cars","Number","2012","2065216"
"World","Bmw","Cars","Number","2013","2006366"
"World","Bmw","Cars","Number","2014","2165566"
"World","Bmw  rover","Cars","Number","1998","1175000"
"World","Bmw  rover","Cars","Number","1999","1121000"
"World","Brilliance","Cars","Number","2006","190377"
"World","Brilliance","Cars","Number","2007","293588"
"World","Brilliance","Cars","Number","2008","241553"
"World","Brilliance","Cars","Number","2009","314189"
"World","Brilliance","Cars","Number","2010","226840"
"World","Brilliance","Cars","Number","2011","188336"
"World","Brilliance","Cars","Number","2012","231527"
