manufacturer	Unit	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Anhui jac automotive	Number													200730				
Anhui jiangghuai	Number									63343	209880	207711	336979					
Ashok leyland	Number																638	430
Asia	Number																	
Avtovaz	Number	6e+05	718000	755997		703040	699888	717985	721492	765627	735897	801563	294737	545767	562347	553232	495013	381964
Avtovaz-seaz	Number				786008													
Baic	Number														33374	83033	243437	538027
Beijing aig (without isuzu)	Number				4653	9602												
Beijing automobile	Number									297528								
Beijing automotive	Number										454272	446680	684534	13138				
Bmw	Number			834628	946730	1090258	1118940	1250345	1323119	1366838	1541503	1439918	1258417	1481253	1738160	2065216	2006366	2165566
Bmw  rover	Number	1175000	1121000															
Brilliance	Number									190377	293588	241553	314189	226840	188336	231527	279335	235115
Byd	Number									60135	100376	192971	427732	521232	449425	455444	510950	433718
Chana ag	Number				32328													
Chana ag(without suzuki)	Number					57227												
Chana automobile	Number									446692	543787	531149	1425777	929195				
Changan	Number			1e+05											850631	835334	873794	1089179
Chen zhou gonow nanyan chifeng motor vehicle	Number													49039				
Chenzhou ji'ao	Number												51008					
Chery	Number									319389	427882	350560	508567	685103	629386	550565	459283	449333
Chery auto	Number							79565	185588									
China first acg	Number																	
China national	Number										100202							
Chongqing lifan	Number											122783	104434	71090				
Chongqing lifan  motor co.	Number														124228	183750	168395	148452
Chrysler	Number									748337	754855	529458	211160	340205	502020	656892		
Cnaic (changhe&harbin)	Number				121288	137916												
Daewoo	Number	727000	890000	689766	469520													
Daihatsu	Number						725060	785166	803176	905932	711595							
Daimler	Number									1275152	1335226							
Daimler ag	Number											1380091	1055169	1351372	1443419	1455650	1631502	1808125
Daimlerchrysler	Number	1925000	1997000	2043376														
Daimlerchrysler (with evobu	Number				2392992		1819973	1913693	1965410									
Daimlerchrysler(with mercedes-chrysler-dodge-smart-fl-evobus)	Number					1998946												
Dongfeng	Number											489266						
Dongfeng  mc	Number									257873	437035		663262	350041	410626	539845	642092	745765
Dongfeng (without citroã«n)	Number					50255												
Faw	Number									393754	690712	637720	650275	780507	619535	480443	448290	391079
Faw group (without vw)	Number				21488	77466	214851											
