Экспортеры	2004-Объемы экспорта	2004-Единица	2005-Объемы экспорта	2005-Единица	2006-Объемы экспорта	2006-Единица	2007-Объемы экспорта	2007-Единица	2008-Объемы экспорта	2008-Единица	2009-Объемы экспорта	2009-Единица	2010-Объемы экспорта	2010-Единица	2011-Объемы экспорта	2011-Единица	2012-Объемы экспорта	2012-Единица	2013-Объемы экспорта	2013-Единица	2014-Объемы экспорта	2014-Единица	2015-Объемы экспорта	2015-Единица	2016-Объемы экспорта	2016-Единица	2017-Объемы экспорта	2017-Единица	2018-Объемы экспорта	2018-Единица	2019-Объемы экспорта	2019-Единица	2020-Объемы экспорта	2020-Единица	2021-Объемы экспорта	2021-Единица	2022-Объемы экспорта	2022-Единица	2023-Объемы экспорта	2023-Единица	
"Весь Мир"	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	
"Джибути"											728	Единицы																							25259528	Тонны	38603342	Тонны	32235813	Тонны	
"Германия"	5870228	Единицы	6436651	Единицы	6854806	Единицы	7579371	Единицы	7275260	Тонны	5779331	Тонны	7163701	Тонны	7855561	Тонны	5043331	Единицы	7785732	Тонны	5097714	Единицы	5332612	Единицы	5272713	Единицы	5295488	Единицы	4855832	Единицы	7527276	Тонны	3565326	Единицы	3525326	Единицы	3769911	Единицы	7492106	Тонны	
"Китай"	339125	Единицы	307336	Единицы	1431885	Единицы	1617350	Единицы	1106574	Единицы	634858	Единицы	795665	Единицы	1005301	Единицы	1114224	Единицы	1102580	Единицы	1069287	Единицы	958476	Единицы	1074723	Единицы	1415394	Единицы	1501481	Единицы	1517560	Единицы	1718743	Единицы	3037042	Единицы	3641501	Единицы	5389020	Единицы	
"Япония"	5210906	Единицы	5595420	Единицы	6590789	Единицы	7210028	Единицы	7210669	Единицы	3765632	Единицы	5000985	Единицы	4646731	Единицы	5030530	Единицы	4967486	Единицы	4851780	Единицы	4987637	Единицы	5048372	Единицы	5230030	Единицы	5400939	Единицы	5409031	Единицы	4288109	Единицы	4376353	Единицы	4367198	Единицы	5274938	Единицы	
"Республика Корея"	1805709	Единицы	2026389	Единицы	2262262	Единицы	2425351	Единицы	3865656	Тонны	2941807	Тонны	2040864	Единицы	4509326	Тонны	4592775	Тонны	3240599	Единицы	3189759	Единицы	3092185	Единицы	2798725	Единицы	2759517	Единицы	2775015	Единицы	2829099	Единицы	2280741	Единицы	2464915	Единицы	2633388	Единицы	3997082	Единицы	
"Испания"	2296422	Единицы	2033269	Единицы	1998806	Единицы	Нет объемов	Нет объемов	2489284	Тонны	1899093	Единицы	Нет объемов	Нет объемов	2088994	Единицы	1790963	Единицы	1875743	Единицы	2651548	Тонны	2300133	Единицы	Нет объемов	Нет объемов	3293202	Тонны	3410614	Тонны	3201274	Тонны	2617010	Тонны	2550215	Тонны	2589454	Тонны	2900713	Тонны	
"Соединенные Штаты Америки"	1831077	Единицы	2239879	Единицы	2064372	Единицы	2475123	Единицы	2807786	Единицы	1684655	Единицы	2138812	Единицы	2477097	Единицы	2726172	Единицы	2822521	Единицы	2814062	Единицы	Нет объемов	Нет объемов	Нет объемов	Нет объемов	2424594	Единицы	2441292	Единицы	2700462	Единицы	2078909	Единицы	2421410	Единицы	2366587	Единицы	2519018	Единицы	
"Словакия"	170344	Единицы	174455	Единицы	406437	Единицы	508174	Единицы	795696	Тонны	614844	Тонны	502235	Единицы	567273	Единицы	829639	Единицы	1178858	Тонны	974797	Единицы	1038195	Единицы	1092858	Единицы	1076427	Единицы	1195031	Единицы	1163929	Единицы	1026935	Единицы	1045388	Единицы	1043551	Единицы	1919448	Тонны	
"Соединенное Королевство Великобритании и Северной Ирландии"	1220618	Единицы	1233116	Единицы	1181409	Единицы	1470677	Единицы	1492625	Единицы	1091940	Единицы	1378736	Единицы	1993033	Единицы	1434947	Единицы	1450627	Единицы	1431761	Единицы	1468691	Единицы	1730233	Единицы	2376883	Тонны	1474699	Единицы	1328368	Единицы	1342987	Единицы	1147154	Единицы	1103852	Единицы	1745037	Единицы	
