Экспортеры	 Стоимость экспорта в 2004 г.	 Стоимость экспорта в 2005 г.	 Стоимость экспорта в 2006 г.	 Стоимость экспорта в 2007 г.	 Стоимость экспорта в 2008 г.	 Стоимость экспорта в 2009 г.	 Стоимость экспорта в 2010 г.	 Стоимость экспорта в 2011 г.	 Стоимость экспорта в 2012 г.	 Стоимость экспорта в 2013 г.	 Стоимость экспорта в 2014 г.	 Стоимость экспорта в 2015 г.	 Стоимость экспорта в 2016 г.	 Стоимость экспорта в 2017 г.	 Стоимость экспорта в 2018 г.	 Стоимость экспорта в 2019 г.	 Стоимость экспорта в 2020 г.	 Стоимость экспорта в 2021 г.	 Стоимость экспорта в 2022 г.	 Стоимость экспорта в 2023 г.	
"Весь Мир"	455562909	487362355	536115430	624219718	637946060	437366027	558030371	637964126	651733603	674711598	707360080	678384755	700620485	747963060	776362737	767224616	646507919	725560901	789545331	959514679	
"Германия"	99698488	108685499	115981546	138802727	141066773	103216731	129926625	154644107	146852722	148590499	160314952	152938406	152226963	157003953	155037984	143430200	122853861	139823769	155962281	177224625	
"Япония"	74822894	79769273	94485252	108147197	115440406	62268308	90372820	87337874	97460126	91688812	88542760	86048342	91993589	93366507	99123167	98043242	80914491	85589554	87198901	110937486	
"Китай"	317100	850190	1536435	2810583	2993416	1389071	2205451	3739005	4768433	4623371	4547591	4139694	4953605	7180424	8626679	8633018	9927709	24389059	44687899	77659214	
"Республика Корея"	24632146	27256101	30597195	34482841	31287529	22399196	31781724	40909861	42387538	44289737	44816385	41752435	37496145	38831864	38249258	40458289	35638512	44318347	51680334	68260793	
"Соединенные Штаты Америки"	25358812	31363346	35401132	44792581	50707065	28360355	39324195	48425410	54584710	57299622	61675661	55365825	53837602	53568288	51428857	56451074	45967269	54939182	57850861	63034756	
"Мексика"	11840723	13404388	17407486	18684439	21606731	15103251	23091138	26844138	29169292	32389396	32284700	32843266	31417643	41689251	49406392	50631190	40247406	39909676	46924135	57333805	
"Бельгия"	29046987	29251567	30598030	32739367	31121442	24266985	23713175	28687331	27956140	29668004	31322955	28159670	30621117	32956513	34093566	38162683	33266616	31838112	33891693	43083479	
"Испания"	26295431	24088044	24385898	29818142	30142942	26084507	25975330	30633594	25297585	29316670	31787796	33197224	35718790	34316509	35713457	34360714	31510812	33943702	32901492	40610683	
"Канада"	36770256	37303892	37809539	37733640	32589236	23342099	36898853	39772273	46933383	45193320	44877157	44916347	48842427	46504204	40992970	40715771	32033652	29154651	29462272	37875190	
"Соединенное Королевство Великобритании и Северной Ирландии"	22486872	24311989	24343762	29982564	28954422	18572112	26532738	32120684	33990029	38228320	42365403	38950872	40785807	41997266	42042944	38583888	26554697	30198735	29479694	36935455	
"Словакия"	4183758	3822202	6306268	10120171	10904086	7617371	9206938	11684781	13216305	14444331	14883406	13851551	15526490	16546008	22061069	23153300	24311484	26643562	26185405	33169759	
"Чехия"	4592023	6313166	8429659	10062434	10863019	10596240	12489973	15512077	15197220	15345240	17811636	17085247	18804906	21334083	22774692	22436195	20687720	23431713	25205725	31975370	
"Франция"	35440955	33888506	30767253	30988064	27747372	19901642	21088981	23397688	20315501	18664295	19240594	17643557	18398762	22217305	25216197	23728666	18556778	20803342	20761865	24650394	
"Италия"	8402447	7824607	9607285	11600446	10777857	7954733	8569324	9225603	9220176	10020975	11616443	13986603	15217801	18065854	17028145	15201417	14783893	16378879	16260641	20505330	
"Венгрия"	1837554	2221874	3292610	5786675	6760917	3932818	4146002	4898437	5095730	7399122	11031183	11209494	11012970	11270375	11401323	12668105	11306242	12010583	12174124	15588530	
"Швеция"	8092517	8126445	9240599	10279559	8445156	4369096	5328555	6832585	5338286	5204799	4925843	6009595	7456567	8994436	11614942	11878569	11338708	12560040	12057884	15192769	
"Таиланд"	1128565	2160709	2921663	3853716	5280474	4090824	7027645	6264653	5680374	6625289	6524499	9509500	11621088	10855008	11095169	10261546	8196253	10648715	11069986	11776338	
"Турция"	3933685	4373431	5645000	6839691	7474402	6086488	6210110	6485592	6069128	7012825	7460019	6899721	8356130	11814903	12441971	12096068	9636838	9573494	9350959	11548450	
"Австрия"	7712081	7779142	8655422	8485908	6617179	3449098	4063396	5300207	4921586	5734184	5625475	4855106	4720472	5972829	8364517	9001867	7110691	8460934	7938281	8925625	
"Польша"	4237610	5387907	7012063	7768507	9953234	9680875	8786311	9515519	6786601	6900925	6554666	6491531	7599484	7514176	7328652	6838675	4758051	4040365	5747849	7648280	
"Румыния"	117977	364515	572526	1083177	1434653	2359247	2711307	3286826	3254539	4208338	3974008	3233009	3178557	3378341	5502993	5471437	5410573	5598871	6165082	6909091	
"Индия"	736341	954334	1048332	1283439	2219825	2940806	4510553	3624900	4238243	5556473	5768978	5386615	6367514	6591608	7191708	7003036	4620818	5483035	6585912	6723742	
"Нидерланды"	3507753	2754173	2524057	1824353	2105883	2587519	2356446	3694750	3830271	3306686	4511566	3061715	3934221	6366219	7764624	6801418	5833397	5333361	5667910	6674769	
"Марокко"	2786	2604	2236	62886	61905	53348	64934	264674	836598	1501083	2293199	2420060	2946002	3197026	3573074	3442217	2974891	4211995	5247004	6396539	
"Индонезия"	140625	245790	365971	839201	1234371	628864	1026877	1337494	2264346	2116009	2641590	2429247	2565831	3096483	3276970	3943044	2689360	3358485	5545393	6066930	
"Южная Африка"	2455694	2860197	2718347	2635454	4535552	3062471	4578984	4721037	4026505	3656827	4363488	5579596	5289459	5669262	6228532	6713124	4601076	5348097	5799432	5407083	
"Португалия"	2660180	2690529	3043035	2632516	2654618	1991130	2313972	3267848	2680245	2461435	2626889	2302648	1963035	2439164	4451892	4712209	3578279	4085364	4224076	4339788	
"Бразилия"	3350389	4395498	4594617	4653453	4915216	3244864	4414610	4375675	3725260	5484727	3195123	3366466	4671383	6669807	5141234	3781712	2713511	3277512	4635532	4167250	
"Словения"	1296565	1933067	1922380	3104735	3030799	2634998	2515596	2501700	2075417	2064613	2610522	2370554	2612650	3386653	3930956	3763510	3210643	3340399	2510646	2648708	
"Дания"	501987	494523	498065	502765	563155	613588	478868	696850	585871	600462	653523	620407	777191	1016048	1060391	1176964	1258707	1715307	1805807	2185153	
"Аргентина"	676554	804584	1432352	2177064	2829925	2759949	3923550	4712550	3958562	4123377	3085824	1914448	1532790	1542493	514708	213963	362532	1046864	1278366	1493942	
"Финляндия"	938993	1534467	2451065	2437173	2984102	963686	554688	581813	509279	580245	1459678	1845313	1253502	2743574	3582026	3400472	2732116	3344078	2427078	1290828	
"Литва"	294517	369104	600586	815923	813797	530111	649487	1078219	671162	738039	553507	250193	234397	317969	386609	664569	620836	671783	1136633	1274010	
"Эстония"	147845	213124	307892	447117	555446	624953	295386	342359	240171	318829	363640	290389	344906	373870	463391	568794	473601	614063	634860	971221	
"Китайский Тайбэй"	377927	400836	380691	349625	411659	381512	777408	1015302	1201140	1247285	1426775	1261145	877374	714909	557906	674935	620122	943101	984406	917611	
"Люксембург"	421068	364445	458583	549517	495307	461761	455412	447604	425311	472488	526720	442635	505596	566237	573093	628720	664441	744321	693305	812545	
"Швейцария"	248946	240091	323005	445529	411512	313284	302280	301867	344739	354406	365305	388731	490124	522447	629883	576446	632122	802306	681577	726684	
