Импортеры	2004-Объемы импорта	2004-Единица	2005-Объемы импорта	2005-Единица	2006-Объемы импорта	2006-Единица	2007-Объемы импорта	2007-Единица	2008-Объемы импорта	2008-Единица	2009-Объемы импорта	2009-Единица	2010-Объемы импорта	2010-Единица	2011-Объемы импорта	2011-Единица	2012-Объемы импорта	2012-Единица	2013-Объемы импорта	2013-Единица	2014-Объемы импорта	2014-Единица	2015-Объемы импорта	2015-Единица	2016-Объемы импорта	2016-Единица	2017-Объемы импорта	2017-Единица	2018-Объемы импорта	2018-Единица	2019-Объемы импорта	2019-Единица	2020-Объемы импорта	2020-Единица	2021-Объемы импорта	2021-Единица	2022-Объемы импорта	2022-Единица	2023-Объемы импорта	2023-Единица	
"Весь Мир"	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	
"Джибути"											1864	Единицы																							31510807	Тонны	45569846	Тонны	37363400	Тонны	
"Соединенные Штаты Америки"	6622419	Единицы	6685747	Единицы	7456489	Единицы	7332486	Единицы	6025263	Единицы	4307781	Единицы	5717462	Единицы	5876638	Единицы	6811924	Единицы	6907749	Единицы	6985481	Единицы	Нет объемов	Нет объемов	Нет объемов	Нет объемов	7965443	Единицы	7862282	Единицы	7798220	Единицы	6504773	Единицы	6143171	Единицы	6392030	Единицы	7361829	Единицы	
"Германия"	2594907	Единицы	2600586	Единицы	2887893	Единицы	2848747	Единицы	2784491	Тонны	Нет объемов	Нет объемов	2708336	Тонны	3098700	Тонны	Нет объемов	Нет объемов	2914537	Тонны	3256953	Тонны	2512772	Единицы	2751140	Единицы	2955490	Единицы	3077506	Единицы	5045012	Тонны	2773815	Единицы	2585023	Единицы	2594222	Единицы	4415866	Тонны	
"Франция"	1743520	Единицы	1818051	Единицы	1931094	Единицы	2059304	Единицы	2044114	Единицы	1899939	Единицы	2019923	Единицы	2442956	Тонны	1682101	Единицы	1671215	Единицы	1629111	Единицы	1761351	Единицы	1909645	Единицы	2062298	Единицы	2205046	Единицы	2210820	Единицы	1912185	Единицы	1899688	Единицы	1838635	Единицы	4400664	Единицы	
"Пакистан"	100692	Единицы	214306	Единицы	256724	Единицы	206729	Единицы	419600	Единицы	517067	Единицы	775942	Единицы	798071	Единицы	30000840257	Единицы	20000740757	Единицы	1305130	Единицы	1862136	Единицы	1462932	Единицы	1759464	Единицы	2189935	Единицы	2244290	Единицы	1843747	Единицы	4556368	Единицы	2804795	Единицы	3066835	Единицы	
"Соединенное Королевство Великобритании и Северной Ирландии"	2659434	Единицы	2375634	Единицы	2665444	Единицы	2817292	Единицы	2246405	Единицы	1944371	Единицы	2462944	Единицы	2229962	Единицы	1895622	Единицы	2150629	Единицы	2358381	Единицы	2561534	Единицы	2518377	Единицы	Нет объемов	Нет объемов	2412592	Единицы	Нет объемов	Нет объемов	1683451	Единицы	1503213	Единицы	1856116	Единицы	2130059	Единицы	
"Бельгия"	1254740	Единицы	1181213	Единицы	1296753	Единицы	1382622	Единицы	1410572	Единицы	1277546	Единицы	1467156	Единицы	1404958	Единицы	1310855	Единицы	1359144	Единицы	1420288	Единицы	1571728	Единицы	1777728	Единицы	1921197	Единицы	1909979	Единицы	1955584	Единицы	1522867	Единицы	1397266	Единицы	2348903	Единицы	1647649	Единицы	
"Италия"	2049729	Единицы	2010402	Единицы	2041748	Единицы	2233605	Единицы	1867257	Единицы	1807208	Единицы	1755258	Единицы	1662838	Единицы	1227112	Единицы	1189148	Единицы	1308915	Единицы	1492599	Единицы	1767949	Единицы	1897188	Единицы	1876746	Единицы	Нет объемов	Нет объемов	1259320	Единицы	1392320	Единицы	1278983	Единицы	1646998	Единицы	
"Канада"	1166305	Единицы	1234224	Единицы	1324628	Единицы	1399379	Единицы	1960780	Тонны	1007132	Единицы	1148093	Единицы	1150876	Единицы	1273667	Единицы	1259165	Единицы	1330526	Единицы	1385416	Единицы	1361699	Единицы	1382602	Единицы	1402503	Единицы	1350876	Единицы	1062157	Единицы	1173229	Единицы	1228718	Единицы	1486876	Единицы	
