Импортеры	 Стоимость импорта в 2004 г.	 Стоимость импорта в 2005 г.	 Стоимость импорта в 2006 г.	 Стоимость импорта в 2007 г.	 Стоимость импорта в 2008 г.	 Стоимость импорта в 2009 г.	 Стоимость импорта в 2010 г.	 Стоимость импорта в 2011 г.	 Стоимость импорта в 2012 г.	 Стоимость импорта в 2013 г.	 Стоимость импорта в 2014 г.	 Стоимость импорта в 2015 г.	 Стоимость импорта в 2016 г.	 Стоимость импорта в 2017 г.	 Стоимость импорта в 2018 г.	 Стоимость импорта в 2019 г.	 Стоимость импорта в 2020 г.	 Стоимость импорта в 2021 г.	 Стоимость импорта в 2022 г.	 Стоимость импорта в 2023 г.	
"Весь Мир"	463724487	486718100	541314743	627757297	635460862	446196076	557069382	640086624	654634713	674931428	706853441	684257936	708233307	757351529	783424663	782434466	654598180	733169024	796649646	972076176	
"Соединенные Штаты Америки"	124157467	125352202	137487307	136300944	127934961	82234154	116642353	124764600	149315757	155498280	156355727	169195882	173287003	179580096	178482959	179488383	145743035	148038801	168337379	210288253	
"Германия"	37413346	36684450	42059832	44190917	44328511	41436059	36098823	44020678	42222090	41087825	46543544	45803198	51587150	58352119	64705458	72162137	66426786	67501958	68521688	78129319	
"Соединенное Королевство Великобритании и Северной Ирландии"	43671912	39885333	42805392	50275672	40026465	28120156	35735653	40924561	34504508	38762785	46330956	48698483	45584964	44210077	44247002	43830070	34629705	35726065	44381019	56496259	
"Франция"	25422998	26580495	28341525	34735664	36803577	30481068	31166550	36168306	29929224	29712216	31101732	29273672	31912253	34912459	38305292	38724261	36735012	40564491	37451885	46340969	
"Китай"	4601894	4690717	6950950	9843513	14060035	14367865	28921282	40965093	45491624	47465756	59729765	44197998	43991314	49940232	49609624	47056767	44923987	52852668	52273905	45940704	
"Бельгия"	20813751	20191382	22080840	27466654	29079959	23026795	26940941	28252482	25291211	27124939	28881616	29159334	33059323	36669314	38810464	40114031	32495269	31942853	34631109	43256920	
"Канада"	17765698	20072679	22975544	25483925	25399129	17062160	22359152	23562244	25927699	26336678	27007449	26328156	26406069	28700378	29935609	28490702	21985053	28619845	32598626	38602612	
"Италия"	30140438	30558008	31819648	38012962	34714467	29697680	28056726	29662840	20280068	20206412	22865418	22588392	27579314	31215061	32477141	30858987	22978252	25861450	25587414	36408631	
"Австралия"	8563448	9743560	9938605	12144078	13069365	9685302	15275018	14611081	17553107	17710738	15868768	15329421	15923033	17490705	16782725	14886003	12846966	17566302	19250490	24214689	
"Испания"	21722936	23024772	24175378	29111089	22186298	12920507	11619319	13741112	10397819	11443519	14964398	16293172	18214569	20163519	22186292	20945381	13844345	15340468	17406417	23557455	
"Турция"	4214588	4297925	4270786	4748663	4554346	4266673	6821775	8477252	7251417	9718790	8261673	9227428	9841764	8606787	5905940	3536771	7928656	6728683	7980115	18188118	
"Мексика"	6425199	7840182	9265262	9436330	8342302	4755050	6461172	7263987	7643234	8452624	8101028	9463808	9941227	11514449	10616500	9867605	6232722	7556140	11011739	17674192	
"Объединенные Арабские Эмираты"		4262057		7243410	11033277				12590152	12249598	13723816	13763125	11697895	15785609	15440678	13908636	10320131	12689705	17133234	16278993	
"Нидерланды"	8738689	8580932	9033736	10384352	10979200	8462158	9762579	12784608	11195014	11013929	11564681	9445031	9050244	9786296	10866589	12582539	10568106	11839642	11487976	15224733	
"Польша"	3501898	3053093	4025708	5747490	8075582	5171728	5418063	5230761	4906564	5208283	5986917	5389881	7232829	9126274	11023959	10835112	8839449	10269867	11483259	15039631	
"Российская Федерация"	5162896	7732031	12719664	21333779	30266002	8513847	11354596	18590237	20241472	16996880	13161867	6355931	6027371	6697483	7261031	7906105	5426679	7998689	6321267	14993368	
"Саудовская Аравия"	4849278	6626315	7461705	7758114	10178501	8254613	10634610	11240276	15980218	16088157	16050774	17649186	12875938	9498837	8899570	10928036	10560451	11899075	15072597	14958144	
"Республика Корея"	909371	1369961	1902874	2455732	2477836	1882404	2902241	3628703	4567358	5572531	8086495	9935070	9341976	9670129	11201178	11111791	12060521	12933108	14048939	14508707	
"Швейцария"	6251465	6256912	6342844	7393803	8325788	7165359	8965339	11553722	11003395	10184353	10511301	10446688	10229633	10474729	10557114	10955474	10113450	10398249	11094827	13965371	
"Япония"	8195503	8105371	7654017	7692665	6796331	4583680	6443057	8824385	10892791	10608659	10402593	8983995	10348182	11108232	12187111	12135933	10158709	11610518	10663000	12556366	
"Швеция"	4820420	5264574	6214342	7281048	6146437	4528917	6652850	7942362	6906154	7364947	8014636	7602462	8692230	9101123	8664554	8662522	8395743	10102023	9800117	11427224	
"Австрия"	6596686	6516147	6822938	7904884	8518728	7312286	7909001	9674024	8631968	8763040	8830984	7922563	9102639	9809858	9784665	9893663	8099437	9382224	9012937	11204142	
"Китайский Тайбэй"	1238449	1474240	1231428	1412224	1098033	1350359	2127920	3001522	2764240	3261328	3803864	4156445	4427529	4984476	5572496	5518423	6060209	6215297	6531012	7921375	
"Португалия"	3451990	3993782	4288652	5120948	5341509	3568664	4681295	3800424	2136622	2438114	3460756	3794031	4457457	5035712	6082409	5419788	3858409	4067813	4921371	7090625	
"Дания"	2778267	3383512	3842286	4103533	3725414	1987377	2680640	3433965	2729555	3121600	3482486	3645408	4031568	4218615	4703941	4922359	4683182	5804749	5402990	7084015	
"Чехия"	2065817	1834756	2158615	2716646	3303294	2409953	2339422	2835413	2460863	2519236	3040384	3354540	3938062	4542519	4353911	4311980	3778781	4954533	5240099	6684327	
"Норвегия"	2868986	3096533	3596993	4447997	3895181	3084678	4315515	5235898	5271400	5682577	5486231	4914681	5136133	6110786	6221916	5880624	5679663	8428399	8816386	6187070	
"Израиль"	1572635	1628634	1705719	2298371	2652360	2444683	3056567	3360105	2896267	3220128	4062892	3128422	4960389	3688901	4543975	5076152	4169084	5102209	6574979	6083497	
