Реэкспортеры	2004-Объемы реэкспорта	2004-Единица	2005-Объемы реэкспорта	2005-Единица	2006-Объемы реэкспорта	2006-Единица	2007-Объемы реэкспорта	2007-Единица	2008-Объемы реэкспорта	2008-Единица	2009-Объемы реэкспорта	2009-Единица	2010-Объемы реэкспорта	2010-Единица	2011-Объемы реэкспорта	2011-Единица	2012-Объемы реэкспорта	2012-Единица	2013-Объемы реэкспорта	2013-Единица	2014-Объемы реэкспорта	2014-Единица	2015-Объемы реэкспорта	2015-Единица	2016-Объемы реэкспорта	2016-Единица	2017-Объемы реэкспорта	2017-Единица	2018-Объемы реэкспорта	2018-Единица	2019-Объемы реэкспорта	2019-Единица	2020-Объемы реэкспорта	2020-Единица	2021-Объемы реэкспорта	2021-Единица	2022-Объемы реэкспорта, Единицы	2023-Объемы реэкспорта	2023-Единица	
"Соединенное Королевство Великобритании и Северной Ирландии"																	61037	Единицы	116938	Единицы	73309	Единицы					135	Единицы			1313	Единицы	290760	Единицы	183000	Единицы	475708	933554	Единицы	
"Грузия"											2379	Единицы	21027	Единицы	38125	Единицы	56342	Единицы	72	Тонны	44219	Единицы	18130	Единицы	15566	Единицы	29343	Единицы	54493	Единицы	107265	Единицы	40711	Единицы	63860	Единицы	79887	107898	Единицы	
"Соединенные Штаты Америки"	283293	Единицы	407428	Единицы	144005	Единицы	215706	Единицы	263539	Единицы	132315	Единицы	174675	Единицы	211148	Единицы	218291	Единицы	204433	Единицы	151269	Единицы	131503	Единицы	131503	Единицы	134876	Единицы	129654	Единицы	138613	Единицы	81050	Единицы	90449	Единицы	99538	102622	Единицы	
"Канада"	27336	Единицы	23733	Единицы	23257	Единицы	26930	Единицы	Нет объемов	Нет объемов	26213	Единицы	25324	Единицы	29042	Единицы					35212	Единицы	46040	Единицы	60930	Единицы	73824	Единицы	62692	Единицы	66809	Единицы	65836	Единицы	94877	Единицы	81954	70835	Единицы	
"Испания"	12477	Единицы	6456	Единицы	199	Единицы	351	Единицы	136	Единицы	136	Единицы	3090	Тонны	7450	Единицы	3012	Единицы	40252	Единицы	115677	Тонны	88950	Единицы	72779	Единицы	86983	Единицы	78262	Единицы	74081	Единицы	51378	Единицы	60961	Единицы	53407	57415	Единицы	
"Италия"	175	Единицы	189	Единицы	348	Единицы	860	Единицы	1339	Единицы	718	Единицы					172	Единицы	188	Единицы	602	Единицы	139831	Единицы	133205	Единицы	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	37431	Единицы	20548	50958	Единицы	
"Бахрейн"	1970	Единицы	4081	Единицы	2571	Единицы	3591	Единицы	7428	Единицы	11736	Единицы	5290	Единицы	8330	Единицы	10485	Единицы	45098	Единицы	15889	Единицы	Нет объемов	Нет объемов	3568	Единицы	9053	Единицы	6592	Единицы					5849	Единицы	2946	4780	Единицы	
"Новая Зеландия"	2575	Единицы	1926	Единицы	2214	Единицы	2514	Единицы	3704	Единицы	4132	Единицы	3209	Единицы	Нет объемов	Нет объемов	2300	Единицы	2198	Единицы	1907	Единицы	2386	Единицы	37042	Единицы	4808	Единицы	2931	Единицы	3764	Единицы	3001	Единицы	2847	Единицы	3930	4416	Единицы	
"Намибия"																	3162	Тонны	2340	Единицы			2046	Единицы	1430	Единицы	4207	Тонны	Нет объемов	Нет объемов	5608	Единицы	3665	Единицы	6108	Единицы	4381	3587	Единицы	
"Иордания"	3294	Единицы	2093	Единицы	2304	Единицы	4108	Единицы	4	Тонны	3798	Единицы	3394	Единицы	32	Тонны	7	Тонны	1514	Единицы	1546	Единицы	1620	Единицы	1398	Единицы	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	1618	Единицы	2043	1692	Единицы	
"Пакистан"	120	Единицы	104	Единицы	209	Единицы	279	Единицы	2288	Единицы	1690	Единицы	104	Единицы	55	Единицы	1454	Единицы	4	Единицы	32	Единицы	21	Единицы	51	Единицы	17	Единицы	Нет объемов	Нет объемов	Нет объемов	Нет объемов	5	Единицы	32	Единицы	12	1134	Единицы	
"Люксембург"									149	Единицы	1654	Единицы	167	Единицы	250	Единицы	165	Единицы	162	Единицы	190	Единицы	289	Единицы	523	Единицы	1184	Единицы	498	Единицы	1106	Тонны	265	Единицы	432	Единицы	476	807	Единицы	
"Гана"																																			241	Единицы	285	656	Единицы	
"Армения"	28	Единицы	54	Единицы	31	Единицы	16	Единицы	9	Единицы	5	Единицы	7	Единицы	13	Единицы	10	Единицы	8	Единицы	12	Единицы	135	Единицы	147	Единицы	162	Единицы	291	Единицы	449	Единицы	85	Единицы	95	Единицы	271	523	Единицы	
"Республика Молдова"	189	Единицы	47	Единицы	74	Единицы	1028	Единицы	153	Единицы	24	Единицы	42	Единицы	99	Единицы	85	Единицы	116	Единицы	80	Единицы	72	Единицы	168	Единицы	204	Единицы	156	Единицы	157	Единицы	171	Единицы	348	Единицы	632	382	Единицы	
"Эстония"	12097	Единицы	2756	Единицы	561	Единицы	556	Единицы	1669	Единицы	20796	Единицы																	1684	Единицы	798	Единицы	709	Единицы	574	Единицы	345	266	Единицы	
"Кипр"	7897	Единицы	6644	Единицы	4326	Единицы	5030	Единицы	2403	Единицы	1079	Единицы	645	Единицы	583	Единицы	545	Единицы	614	Единицы	466	Единицы	1513	Единицы	1082	Единицы	365	Единицы	246	Единицы	174	Единицы	166	Единицы	388	Единицы	282	224	Единицы	
"Кения"	120	Единицы							312	Единицы									148	Единицы									189	Единицы					155	Единицы	253	157	Единицы	
"Фиджи"			22	Единицы	5108	Единицы	25	Единицы	73	Единицы	51	Единицы	9	Единицы	38	Тонны	Нет объемов	Нет объемов	18	Единицы	646	Единицы	23	Единицы	19	Единицы	41	Единицы	46	Единицы	32	Единицы	94	Единицы	54	Единицы	56	62	Единицы	
"Того"									261	Тонны	455	Тонны	425	Тонны	182	Единицы	227	Единицы	174	Единицы	240	Тонны	222	Тонны	339	Тонны			48	Единицы	145	Тонны	80	Единицы	105	Единицы	23	48	Единицы	
"Буркина-Фасо"																																					74	48	Единицы	
"Гренада"	31	Единицы	22	Единицы	49	Единицы							14	Тонны	66	Тонны	11	Тонны	20	Тонны	8	Тонны	8	Тонны	4	Тонны	20	Тонны	73	Тонны	11	Тонны	2	Тонны	8	Тонны	17	47	Единицы	
"Замбия"	24	Единицы	31	Единицы	19	Единицы	30	Единицы	112	Единицы	60	Единицы	82	Единицы	40	Единицы	28	Единицы	33	Единицы	143	Единицы	24	Единицы	24	Единицы	18	Единицы	16	Единицы	49	Единицы	76	Единицы	19	Единицы	20	39	Единицы	
"Южная Африка"													40	Единицы	948	Тонны	438	Единицы	319	Единицы	451	Единицы	307	Единицы	240	Единицы	303	Единицы	570	Единицы	Нет объемов	Нет объемов	108	Единицы	22	Единицы	58	37	Единицы	
"Антигуа и Барбуда"			73	Единицы			105	Единицы			38	Единицы	98	Единицы	33	Единицы	68	Единицы	39	Единицы	16	Единицы	24	Единицы	18	Единицы	23	Единицы	81	Тонны	70	Тонны			37	Единицы	26	30	Единицы	
"Шри-Ланка"																	43	Единицы			26	Единицы	5370	Единицы	43	Единицы	Нет объемов	Нет объемов			20	Единицы	Нет объемов	Нет объемов	7	Единицы	5	24	Единицы	
"Маврикий"			771	Единицы									76	Единицы	56	Единицы	80	Единицы	65	Единицы	132	Единицы	29	Единицы	72	Единицы									27	Единицы	15	24	Единицы	
"Мадагаскар"	29	Единицы	69	Единицы	30	Единицы	25	Единицы	19	Тонны	24	Единицы	26	Единицы	60	Тонны	Нет объемов	Нет объемов	8	Единицы	15	Единицы	19	Единицы	26	Единицы	28	Единицы	11	Единицы	10	Единицы	14	Единицы	10	Единицы	7	21	Единицы	
"Гайана"			19	Единицы	65	Единицы	11	Единицы	17	Единицы	24	Единицы	15	Единицы	11	Единицы	11	Единицы	9	Единицы	6	Единицы	10	Единицы	11	Единицы	13	Единицы	19	Единицы	16	Единицы	32	Единицы	6	Единицы	46	20	Единицы	
"Боливия (Многонациональное Государство)"	14	Единицы	33	Единицы	70	Единицы	57	Единицы	47	Единицы	65	Единицы	50	Тонны	23	Единицы	27	Единицы	23	Единицы	20	Единицы	43	Тонны	9	Единицы	26	Тонны	26	Тонны	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	10	18	Единицы	
"Бенин"	14	Единицы	10	Единицы									47	Единицы	175	Тонны	34	Единицы	64	Единицы	69	Единицы	79	Единицы	84	Единицы	50	Единицы	48	Единицы	42	Единицы	86	Единицы	40	Единицы	29	14	Единицы	
"Белиз"	18	Единицы	16	Единицы	51	Единицы	24	Единицы			8	Единицы	8	Единицы	10	Единицы	12	Единицы	21	Единицы	21	Единицы	9	Единицы	31	Единицы	11	Единицы	7	Единицы	12	Единицы	6	Единицы	12	Единицы	24	9	Единицы	
"Ботсвана"															8	Единицы	5	Единицы			1	Единицы	11	Тонны			69	Единицы	2	Единицы	2	Единицы	0		0		0	6	Тонны	
"Барбадос"	37	Единицы	56	Единицы	41	Единицы	22	Единицы	31	Единицы	134	Единицы	37	Единицы	34	Единицы	80	Единицы	7	Единицы	142	Единицы	414	Единицы	59	Единицы	41	Тонны	38	Тонны			16	Тонны	11	Единицы	26	5	Единицы	
"Зимбабве"	4	Тонны	3	Тонны	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	71	Тонны	73	Тонны	110	Тонны	97	Тонны	97	Тонны	211	Тонны	84	Тонны	16	Тонны							1	Единицы	4	Единицы	1	1	Единицы	
"Монтсеррат"	10	Единицы	10	Единицы	2	Единицы	5	Единицы	2	Единицы	6	Единицы					1	Единицы	2	Единицы	1	Тонны	1	Единицы	1	Единицы	6	Единицы	8	Единицы	0	Единицы	1	Единицы			0	1	Единицы	
"Китай, Специальный административный район Макао"	Нет объемов	Нет объемов	566	Единицы	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	1159	Единицы	421	Единицы	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	
"Малави"	21	Единицы	33	Единицы	4	Единицы	0	Единицы	0	Единицы	4	Единицы	2	Единицы	0	Единицы	Нет объемов	Нет объемов	2	Единицы	1	Единицы	1	Единицы	2	Единицы	1	Единицы	1	Единицы	3	Единицы	2	Единицы	7	Единицы		0		
"Объединенная Республика Танзания"	119	Единицы	77	Единицы	64	Единицы	136	Единицы					92	Единицы																	270	Единицы	Нет объемов	Нет объемов	736	Тонны	143	Нет объемов	Нет объемов	
"Суринам"	1	Единицы	5	Единицы			4	Единицы			3	Тонны			4	Тонны	1	Тонны	1	Единицы	7	Единицы	0		0		3	Единицы	0		0		0		3	Единицы	0	0		
"Эсватини"	1225	Единицы	1248440	Единицы	15756	Единицы	12778	Единицы																											0					
"Таиланд"											0		0		0		0		68	Единицы	161	Единицы	277	Тонны	601	Тонны	366	Тонны	331	Тонны										
"Тонга"									3	Единицы	0		0				2	Единицы	3	Единицы	2002	Единицы																		
"Тринидад и Тобаго"							23	Единицы	4	Единицы	19	Единицы	15	Единицы	18	Единицы	18	Единицы	157	Единицы	12	Единицы	21	Единицы	84	Единицы	137	Единицы	52	Единицы	129	Единицы	27	Единицы	6	Единицы				
"Объединенные Арабские Эмираты"			73995	Единицы			359927	Единицы	488306	Тонны							301198	Единицы	460940	Тонны	632108	Тонны	569191	Тонны	499205	Тонны	325435	Единицы	247307	Единицы	238416	Единицы	196612	Единицы	215945	Единицы	Нет объемов			
"Уганда"	49198	Единицы	1712	Единицы			2226	Единицы	4383	Единицы	4865	Единицы	5135	Единицы					5876	Единицы	334972	Единицы	5184	Единицы	1965	Единицы	119718	Единицы												
"Узбекистан"																											2	Единицы	10	Единицы	9	Единицы	4	Единицы	0	Единицы	12			
"Венесуэла (Боливарианская Республика)"									226	Тонны	132	Единицы			0		2	Единицы																						
"Йемен"	402	Единицы	1646	Единицы	1639	Единицы	1952	Единицы	101092	Единицы	1878	Единицы	2063	Единицы	208	Единицы	160	Единицы	0		667104	Единицы	286674	Единицы																
"Мальдивские Острова"	3	Единицы	0																																					
"Мали"													51	Единицы	61	Тонны	123	Единицы							116	Единицы														
"Кувейт"	0				21045	Единицы	22887	Единицы	139886	Единицы											93873	Единицы	33925	Единицы	Нет объемов	Нет объемов	Нет объемов	Нет объемов			51890	Единицы	45541	Тонны	51041	Единицы	29359			
"Кыргызстан"			179	Единицы	4	Единицы	107	Единицы					212	Единицы	881	Единицы	555	Единицы	177	Единицы	847	Тонны													3	Единицы				
"Ливан"																																	4671	Тонны	3311	Единицы	2817			
"Лесото"			40	Единицы	78	Единицы	92	Единицы	127	Единицы	Нет объемов	Нет объемов	337	Единицы	297	Единицы	Нет объемов	Нет объемов	250	Единицы	57	Единицы	Нет объемов	Нет объемов	131	Единицы	4	Единицы	3	Единицы	2	Единицы	5	Единицы	14	Единицы				
"Китайский Тайбэй"							44	Единицы	333	Единицы	442	Единицы	780	Единицы	459	Единицы	43	Единицы	315	Единицы	302	Единицы																		
"Монголия"																							14	Единицы	5	Единицы	6	Единицы												
"Мозамбик"													5	Единицы																										
"Оман"	0		0		0		0		0		0		0		0		0		0		0		Нет объемов	Нет объемов	14024	Единицы	0		15006	Единицы	12201	Единицы	12359	Единицы	13388	Единицы	7388			
"Черногория"					2	Единицы	0		1	Единицы	1	Единицы	2	Единицы	4	Единицы																								
"Судан"																	48	Тонны	0		0		0		0				Нет объемов	Нет объемов										
"Судан (до 2012)"	74	Тонны	73	Тонны	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	Нет объемов	35	Единицы	135	Единицы																								
"Новая Каледония"																							121	Единицы																
"Нигер"															16	Тонны	15	Единицы																						
"Панама"					817	Единицы	944	Единицы	1798	Тонны	153	Единицы	218	Единицы	405	Единицы	318	Единицы	239	Единицы	513	Единицы	285	Единицы	224	Единицы	210	Единицы	227	Единицы	261	Единицы	277	Единицы						
"Тимор-Лешти"	522	Единицы	233	Единицы																																				
"Катар"	Нет объемов	Нет объемов	24082	Единицы	16245	Единицы	22714	Единицы	0				0				Нет объемов	Нет объемов	0		0				Нет объемов	Нет объемов	Нет объемов	Нет объемов			Нет объемов	Нет объемов								
"Руанда"	41	Единицы	68	Единицы	151	Единицы	200	Единицы	143	Тонны	78	Тонны	265	Тонны	519	Тонны	696	Тонны	647	Тонны	619	Тонны	532	Тонны	378	Тонны	390	Тонны	940	Тонны	277	Единицы	130	Единицы	114	Единицы	106			
"Сент-Китс и Невис"	20	Единицы	5	Единицы	13	Единицы	16	Единицы	11	Единицы	2	Единицы	6	Единицы	23	Тонны	4	Единицы	12	Единицы	7	Единицы	67	Тонны	24	Тонны	Нет объемов	Нет объемов												
"Сент-Люсия"	39	Единицы	31	Единицы	39	Единицы			63	Единицы							19	Единицы	137	Единицы	28	Единицы	32	Единицы																
"Сент-Винсент и Гренадины"	14	Единицы	6	Единицы	16	Единицы	23	Единицы	78	Тонны	17	Единицы	16	Единицы	34	Тонны	13	Единицы	33	Тонны	19	Тонны	23	Тонны	24	Тонны	34	Тонны	96	Тонны			1	Единицы	1	Единицы				
"Сан-Томе и Принсипи"							2	Единицы	0		0				0																						1			
"Саудовская Аравия"	22095	Единицы	28227	Единицы	42861	Единицы	56058	Единицы	126141	Тонны	53445	Единицы	47939	Единицы	54325	Тонны	45076	Единицы	65943	Единицы	54308	Единицы	66971	Тонны	69549	Тонны	137395	Тонны	125418	Тонны			69474	Тонны	69862	Единицы				
"Сенегал"					447	Единицы																																		
"Сейшельские Острова"			11	Единицы	0				0		0		0		0		0		0		0		1	Единицы	2	Единицы	0		27	Единицы	2	Единицы	4	Единицы			1			
"Сьерра-Леоне"																							83	Единицы	34	Единицы	89	Тонны												
"Багамские Острова"	544	Единицы			315	Единицы	217	Единицы	17010	Единицы	4191	Единицы	296	Единицы	11236	Единицы	6909	Единицы	16168	Единицы	18963	Единицы	28221	Единицы													870			
"Афганистан"																													Нет объемов	Нет объемов	Нет объемов	Нет объемов								
"Албания"			0		0				2	Тонны																														
"Ангола"																															0	Единицы	0		4	Единицы	2			
"Соломоновы Острова"															0				Нет объемов	Нет объемов	0		2	Единицы	15	Единицы	2	Единицы	4	Единицы										
"Мьянма"													0								0		0				0		Нет объемов	Нет объемов	5	Единицы	0		0					
"Бурунди"					650	Единицы									204	Тонны	91	Единицы			26	Единицы	1211	Единицы	25	Единицы	9	Единицы	42	Единицы	46	Единицы	31	Единицы	38	Единицы	72			
"Колумбия"											1458	Единицы	5428	Единицы	9098	Единицы																								
"Коморские Острова"	0		0						0														0		0	Единицы			0	Единицы	0		0		0					
"Демократическая Республика Конго"																							16	Единицы	22	Единицы	5	Единицы	4	Единицы	1	Единицы	0	Единицы	0	Единицы	2			
"Куба"			43	Единицы	3	Единицы																																		
"Доминика"	4	Единицы	10	Единицы	2	Тонны	7	Единицы	5	Единицы	3	Единицы	1	Единицы			1	Единицы																						
"Доминиканская Республика"																															1	Единицы	0		6	Единицы	10			
"Эфиопия"	0		11	Тонны	0		40	Тонны	0		0		0		5	Тонны	65	Тонны	42	Тонны	33	Тонны	0		39	Тонны	110	Тонны	64	Тонны										
"Джибути"											712	Единицы																												
"Кабо-Верде"			13	Единицы	6	Единицы	13	Единицы			3	Единицы	11	Единицы	4	Единицы	8	Единицы																						
"Гондурас"	5	Единицы	4	Единицы																																				
"Китай, Специальный административный район Гонконг"	34616	Единицы	33916	Единицы	26717	Единицы	29246	Единицы	36661	Единицы	38577	Единицы	34396	Единицы	31838	Единицы	30551	Единицы	35940	Единицы	21554	Единицы	18323	Единицы	Нет объемов	Нет объемов														
"Ямайка"	139	Единицы	28	Единицы	26	Единицы	19	Единицы	20	Тонны	30	Тонны	243	Единицы	139	Тонны	180	Единицы	549	Единицы	1574	Единицы	40	Единицы	34	Единицы	82	Тонны	11	Единицы	581	Единицы	78	Единицы	78	Единицы	38			
"Гвинея"																			102	Единицы	25	Единицы																		
"Гамбия"	4	Тонны	3	Единицы	5	Единицы	6	Единицы					23	Единицы	106	Тонны	121	Единицы	111	Тонны	40	Тонны	22	Единицы	0		21	Единицы	21	Единицы	19	Единицы	23	Тонны						
"Государство Палестина"							74	Единицы	Нет объемов	Нет объемов	15	Единицы	10	Единицы	20	Тонны	13	Единицы	44	Единицы	2	Единицы																		
