Реэкспортеры	 Стоимость реэкспорта в 2004 г.	 Стоимость реэкспорта в 2005 г.	 Стоимость реэкспорта в 2006 г.	 Стоимость реэкспорта в 2007 г.	 Стоимость реэкспорта в 2008 г.	 Стоимость реэкспорта в 2009 г.	 Стоимость реэкспорта в 2010 г.	 Стоимость реэкспорта в 2011 г.	 Стоимость реэкспорта в 2012 г.	 Стоимость реэкспорта в 2013 г.	 Стоимость реэкспорта в 2014 г.	 Стоимость реэкспорта в 2015 г.	 Стоимость реэкспорта в 2016 г.	 Стоимость реэкспорта в 2017 г.	 Стоимость реэкспорта в 2018 г.	 Стоимость реэкспорта в 2019 г.	 Стоимость реэкспорта в 2020 г.	 Стоимость реэкспорта в 2021 г.	 Стоимость реэкспорта в 2022 г.	 Стоимость реэкспорта в 2023 г.	
"Соединенное Королевство Великобритании и Северной Ирландии"									1113047	1543209	1185657			79		82593	13276765	9155295	18821008	25895641	
"Грузия"						73704	205804	366514	571176	686034	503067	179137	170739	244635	428639	732807	400520	456567	905732	2126576	
"Соединенные Штаты Америки"	4104454	6233413	2548387	4819286	4615828	1938617	3136926	3869086	4069024	3733558	3528752	2591061	2571527	2534968	2242631	2222084	1139164	1353259	1634883	1999598	
"Италия"	24090	22234	10899	12485	24760	21886			42963	36670	62334	3290433	3129877	3473130	3603288	2209251	1816493	1573482	937186	1660313	
"Испания"	110074	56133	3700	8699	12923	20821	33889	90114	41633	802396	1242914	1471085	1167943	1242913	1277064	1300975	901110	1319919	1292648	1611693	
"Канада"	268929	236931	219090	291563	287251	205690	182203	218213			412666	651176	1047058	1637283	1049285	1154515	1170461	1837897	1475845	1261451	
"Бахрейн"	53320	110395	76054	117152	187461	153477	171412	253817	290028	814481	405652	339996	126384	380325	291892			271454	133692	200499	
"Новая Зеландия"	25019	20734	25723	31455	41258	45804	30968	54561	40799	43073	40083	55164	48328	57211	47142	43413	30662	43160	59599	85619	
"Иордания"	39054	33069	34119	39187	54495	48732	58574	30946	31273	33052	33212	35457	29380	57764	34676	39162	44243	51892	68368	66002	
"Эстония"	57107	13400	5111	2809	125330	410478									18555	11373	8073	6888	2960	25866	
"Люксембург"					3902	3507	4035	5624	4543	4028	3053	4970	9703	24232	7415	9164	5612	11924	17833	24664	
"Республика Молдова"	3897	2743	2869	7332	1390	1048	2499	7961	5807	7640	7115	4948	12374	14549	9561	9637	10290	42631	59212	21257	
"Объединенная Республика Танзания"	1836	1174	964	2527			1854									8420	4580	3810	5044	18697	
"Армения"	577	1060	985	316	158	316	389	338	244	260	684	2239	8928	9336	15859	18803	5471	4559	9724	17051	
"Кипр"	157163	132404	97448	127684	63228	19459	12583	23264	23545	26323	22055	42887	30351	11337	7777	11803	13864	18202	12532	12541	
"Гана"																		3134	6759	6582	
"Намибия"									27312	42046		40796	25813	49069	49437	5556	6286	9500	6193	6146	
"Кения"	2325				4697					3538					4619			4660	9611	4240	
"Китай, Специальный административный район Макао"	3434	15730	5832	6001	2089	6685	3672	1989	1520	4411	5327	24860	7777	8129	5753	9085	1413	4118	3232	4091	
"Южная Африка"							817	6898	13560	8550	21569	7245	6436	10569	23520	10930	2617	432	2223	1705	
"Буркина-Фасо"																			2556	1495	
"Фиджи"		386	195	466	726	842	114	460	294	245	20937	270	216	1071	1140	733	1553	1209	1118	1310	
"Гренада"	548	220	573				54	223	92	127	60	24	17	240	348	70	33	86	442	1188	
"Того"					993	2660	3713	3980	5077	3871	1712	1659	2047		1208	1753	1400	2181	556	1009	
"Пакистан"	3622	1003	6161	561	42250	2844	16152	1740	306	70	976	830	1142	490	19	706	143	471	361	940	
"Замбия"	366	488	316	694	2625	1143	1560	810	512	610	5087	496	833	578	441	749	418	182	382	934	
"Маврикий"		3476					488	865	1072	1808	2936	739	2294					806	478	765	
"Гайана"		144	165	168	141	66	187	231	276	211	64	130	218	274	485	836	453	159	755	697	
"Антигуа и Барбуда"		659		860		525	1036	545	648	751	295	568	436	496	481	403		775	295	546	
"Боливия (Многонациональное Государство)"	293	662	1348	1040	855	1336	605	545	647	575	971	516	251	261	366	407	524	344	296	499	
"Бенин"	248	162					781	2028	603	1350	1225	1441	1542	1371	1526	1148	2053	975	669	403	
"Белиз"	404	403	76	526		146	198	249	334	490	397	282	753	386	221	358	208	384	427	397	
"Мадагаскар"	485	865	443	437	238	466	488	652	357	207	363	459	664	471	180	219	325	174	138	361	
"Шри-Ланка"									1010		867	448	1297	5283		388	535	149	119	220	
"Барбадос"	625	1018	1327	227	567	1948	978	771	574	95	3049	7249	917	529	738		229	273	617	139	
"Зимбабве"	4	27	101	452	476	830	917	1669	1685	1819	4004	1194	337				79	211	254	125	
"Ботсвана"								38	83		2	68		82	72	25	0	0	0	54	
"Монтсеррат"	54	56	23	30	14	42			8	31	4	18	24	113	189	7	23		0	20	
"Малави"	374	482	109	1	8	61	23	4	5	45	20	33	26	12	12	111	74	119		0	
"Суринам"	27	76		60		15		19	3	25	88	0	0	50	0	0	0	97	0	0	
"Эсватини"	1833	4529	2760	2329														0			
"Таиланд"						0	0	0	0	1580	4909	13769	30007	28796	33926						
"Судан"									301	0	0	0	0		12955						
"Судан (до 2012)"	1202	293	1015	38493	2311	168	1844	303													
"Нигер"								237	285												
"Панама"			21421	28677	27835	5490	7438	15581	11383	8681	14372	7278	5415	4970	4782	4715	6076				
"Тимор-Лешти"	7630	5028																			
"Катар"	51816	100377	97076	137292	0		0		325565	0	0		547913	360765		223366					
"Руанда"	733	1518	2614	4373	2862	751	2797	15215	8661	7474	7544	5866	4466	4016	7462	9156	4259	4293	3767		
"Сент-Китс и Невис"	148	52	157	130	192	45	102	187	71	184	116	221	122	213							
"Сент-Люсия"	1262	540	583		474				368	2314	468	565									
"Сент-Винсент и Гренадины"	272	87	245	311	398	266	271	190	239	116	190	177	265	356	666		24	33			
"Сан-Томе и Принсипи"				13	0	0		0											20		
"Саудовская Аравия"	215055	320849	517609	767290	1260013	832103	700284	517823	557659	779730	835774	691536	758581	1207481	896130		534042	1124067			
"Сенегал"			8110																		
"Сейшельские Острова"		81	0		0	0	0	0	0	0	0	8	36	0	100	42	124		266		
"Сьерра-Леоне"												881	464	208							
"Мальдивские Острова"	104	0																			
"Мали"							796	721	2245				1531								
"Кувейт"	0		284923	366688	512427						568313	637616	557235	623329		636246	510117	754218	490236		
"Кыргызстан"		1126	45	1103			2370	7145	4934	10707	7687							85			
"Ливан"																	93730	150033	122246		
"Лесото"		328	541	848	1169	2109	3208	3229	4545	3706	730	2987	1481	44	54	51	151	216			
"Мозамбик"							67														
