Date	measure	Czechia	Germany	Spain	France	Italy	Netherlands	Poland	Romania	United Kingdom	Türkiye	Остальные
2010	mln units	4.496	41.737627	22.147455	32.675972	36.724	7.735547	17.2398	4.3197	28.647255	7.5448	53.9280791026167
2011	mln units	4.582	42.301563	22.277244	32.61151	37.095	7.858712	18.1255	4.3345	28.733746	8.113111	54.9329277307246
2012	mln units	4.7063	42.929647	22.25	32.865346	37.06	7.915613	18.744	4.4873	28.946849	8.648875	55.2328343588325
2013	mln units	4.729	43.397459	22.024538	32.856502	36.9455	7.93229	19.3894	4.6957	29.345923	9.284	56.2025409869404
2014	mln units	4.833386	43.85123	22.029512	33.354406	37.063708	7.979083	20.003863	4.907564	29.923519	9.857915	56.9039806150483
2015	mln units	5.115316	44.403124	22.355549	33.149895	37.334334	8.100864	20.723423	5.155059	30.50501	10.589337	58.0451512431562
2016	mln units	5.307808	45.071209	24.004934	37.569842	37.859458	8.222974	21.675388	5.472423	31.163706	11.317998	59.3063138712641
2017	mln units	5.538222	45.80356	24.676557	38.136818	38.503317	8.373244	22.503579	5.998194	31.516104	12.035978	60.3776155780191
2018	mln units	5.747913	47.095784	25.30419	38.229305	39.001377	8.442982	19.911107	6.452536	31.833092	12.39819	61.7407769977559
2019	mln units	5.924995	47.715977	25.836586	38.421218	39.528604	8.584391	20.544344	6.902984	32.235849204572	12.503049	63.126146001086
2020	mln units	6.049255	48.248584	26.034347	38.467643	39.701369	8.686419	20.985865	7.274728	32.6385912084952	13.099041	64.094372
2021	mln units	6.08873	48.540878	26.293882	38.814659	39.806554	8.827709	21.356007	7.611039	33.0413332124184	13.706065	65.176137
2022	mln units	6.305934	48.763036	26.605478	38.856492	40.197056	8.917107	21.458101	7.865186	33.4440752163416	14.269352	66.116389
2023	mln units	6.43666791213288	48.7630137284185	27.1178750996101	39.1287551290509	40.6303099415407	9.03156153047437	21.9314646019793	8.18400835022003	33.8468172202647	14.7812435062436	66.9386504029954
2024	mln units	6.56741047468627	48.7630137284185	27.6302516225754	39.3850599047598	41.0635595693454	9.14601338383002	22.399687540647	8.5028228319737	34.2495592241878	15.2931410720956	67.7814423632587
