Год	Ед. Изм.	Соединенное Королевство Великобритании и Северной Ирландии	Грузия	Соединенные Штаты Америки	Канада	Испания	Италия	Объединенные Арабские Эмираты	Кувейт	Саудовская Аравия	Колумбия	Остальные
2010	млн штук	0.0739019244318886	0.021027	0.174675	0.025324	0.00309	0.000536	0.394752	0.124548333333333	0.047939	0.005428	0.123794616717609
2011	млн штук	0.0739019244318886	0.038125	0.211148	0.029042	0.00745	0.000354	0.347975	0.1168795	0.054325	0.009098	0.130156434633885
2012	млн штук	0.061037	0.056342	0.218291	0.0310986666666667	0.003012	0.000172	0.301198	0.109210666666667	0.045076	0.0127680024436337	0.121550042607345
2013	млн штук	0.116938	7.2e-05	0.204433	0.0331553333333333	0.040252	0.000188	0.46094	0.101541833333333	0.065943	0.0164380046677663	0.167340192489038
2014	млн штук	0.073309	0.044219	0.151269	0.035212	0.115677	0.000602	0.632108	0.093873	0.054308	0.0201080068918988	0.128018098044594
2015	млн штук	0.0489176666666667	0.01813	0.131503	0.04604	0.08895	0.139831	0.569191	0.033925	0.066971	0.0237780091160314	0.12929626154926
2016	млн штук	0.0245263333333333	0.015566	0.131503	0.06093	0.072779	0.133205	0.499205	0.03841625	0.069549	0.0274480113401639	0.1441795186022
2017	млн штук	0.000135	0.029343	0.134876	0.073824	0.086983	0.1140502	0.325435	0.0429075	0.137395	0.0311180135642964	0.113816679114598
2018	млн штук	0.000724	0.054493	0.129654	0.062692	0.078262	0.0948954	0.247307	0.04739875	0.125418	0.034788015788429	0.10394026086063
2019	млн штук	0.001313	0.107265	0.138613	0.066809	0.074081	0.0757406	0.238416	0.05189	0.097446	0.0384580180125615	0.0977474615132105
2020	млн штук	0.29076	0.040711	0.08105	0.065836	0.051378	0.0565858	0.196612	0.045541	0.069474	0.0421280202366941	0.0888395538700657
2021	млн штук	0.183	0.06386	0.090449	0.094877	0.060961	0.037431	0.215945	0.051041	0.069862	0.0457980224608266	0.0870551581074932
2022	млн штук	0.475708	0.079887	0.099538	0.081954	0.053407	0.020548	0.21594304144471	0.029359	0.0698619610380981	0.0494680246849592	0.0734267664184387
2023	млн штук	0.933554	0.107898	0.102622	0.070835	0.057415	0.050958	0.21594304144471	0.0297587607594334	0.0698619610380981	0.0531380269090917	0.0822158776885376
2024	млн штук	1.11822494467141	0.0871056568071978	0.101369954410551	0.0708361120572886	0.0574145983633177	0.0509549169315123	0.21594304144471	0.0297660026646682	0.0698619610380981	0.0568322271196028	0.0853358419183432
