Date	Unit	Страна	Объем
1999	mln units	Argentina	0.224733
1999	mln units	Australia	0.281417
1999	mln units	Austria	0.123586
1999	mln units	Belgium	0.917513
1999	mln units	Brazil	1.107751
1999	mln units	Canada	1.626316
1999	mln units	China	0.565366
1999	mln units	Colombia	0.069
1999	mln units	Czech Republic	0.348482
1999	mln units	Egypt	0.045416
1999	mln units	Finland	0.033903
1999	mln units	France	2.784469
1999	mln units	Germany	5.309524
1999	mln units	Hungary	0.125889
1999	mln units	India	0.533149
1999	mln units	Indonesia	0.076715
1999	mln units	Iran	0.119419
1999	mln units	Italy	1.410459
1999	mln units	Kazakhstan	-0.334935644826275
1999	mln units	Japan	8.100169
1999	mln units	Malaysia	0.237998
1999	mln units	Mexico	0.993772
1999	mln units	Morocco	0.370680272082267
1999	mln units	Netherlands	0.262242
1999	mln units	Poland	0.546843
1999	mln units	Portugal	0.186996
1999	mln units	Romania	0.088313
1999	mln units	Russia	0.943732
1999	mln units	Serbia	0.003816
1999	mln units	Slovakia	0.126503
1999	mln units	Slovenia	0.118132
1999	mln units	South Africa	0.214694
1999	mln units	South Korea	2.361735
1999	mln units	Spain	2.281617
1999	mln units	Sweden	0.213895
1999	mln units	Taiwan	0.266
1999	mln units	Thailand	0.063538
1999	mln units	Turkey	0.222041
1999	mln units	Ukraine	0.010136
1999	mln units	United Kingdom	1.786624
1999	mln units	United States	5.637949
1999	mln units	Uzbekistan	0.044433
2000	mln units	Argentina	0.238921
2000	mln units	Australia	0.323649
2000	mln units	Austria	0.115979
2000	mln units	Belgium	0.912233
2000	mln units	Brazil	1.351998
2000	mln units	Canada	1.5505
2000	mln units	China	0.604677
2000	mln units	Colombia	0.069
2000	mln units	Czech Republic	0.428224
2000	mln units	Egypt	0.039616
2000	mln units	Finland	0.038468
2000	mln units	France	2.87981
2000	mln units	Germany	5.131918
2000	mln units	Hungary	0.134029
2000	mln units	India	0.517957
2000	mln units	Indonesia	0.257058
2000	mln units	Iran	0.274985
2000	mln units	Italy	1.422284
2000	mln units	Kazakhstan	-0.315957277646138
2000	mln units	Japan	8.359434
2000	mln units	Malaysia	0.280283
2000	mln units	Mexico	1.279089
2000	mln units	Morocco	0.370680272082267
2000	mln units	Netherlands	0.215085
2000	mln units	Poland	0.481689
2000	mln units	Portugal	0.178509
2000	mln units	Romania	0.064181
2000	mln units	Russia	0.969235
2000	mln units	Serbia	0.011091
2000	mln units	Slovakia	0.181333
2000	mln units	Slovenia	0.122949
2000	mln units	South Africa	0.230577
2000	mln units	South Korea	2.602008
2000	mln units	Spain	2.366359
2000	mln units	Sweden	0.259959
2000	mln units	Taiwan	0.263013
2000	mln units	Thailand	0.097129
2000	mln units	Turkey	0.297476
2000	mln units	Ukraine	0.018124
2000	mln units	United Kingdom	1.641452
2000	mln units	United States	5.542217
2000	mln units	Uzbekistan	0.032273
2001	mln units	Argentina	0.16958
2001	mln units	Australia	0.28587
2001	mln units	Austria	0.131098
2001	mln units	Belgium	1.058656
2001	mln units	Brazil	1.501586
2001	mln units	Canada	1.274853
2001	mln units	China	0.703521
2001	mln units	Colombia	0.069
2001	mln units	Czech Republic	0.456927
2001	mln units	Egypt	0.037006
2001	mln units	Finland	0.041916
2001	mln units	France	3.181549
2001	mln units	Germany	5.301189
2001	mln units	Hungary	0.140401
2001	mln units	India	0.654557
2001	mln units	Indonesia	0.032237
2001	mln units	Iran	0.316334
2001	mln units	Italy	1.27178
2001	mln units	Kazakhstan	-0.296978910466001
2001	mln units	Japan	8.117563
2001	mln units	Malaysia	0.344686
2001	mln units	Mexico	1.000715
2001	mln units	Morocco	0.370680272082267
2001	mln units	Netherlands	0.189261
2001	mln units	Poland	0.335996
2001	mln units	Portugal	0.177357
2001	mln units	Romania	0.056774
2001	mln units	Russia	1.021682
2001	mln units	Serbia	0.007489
2001	mln units	Slovakia	0.181644
2001	mln units	Slovenia	0.116082
2001	mln units	South Africa	0.270538
2001	mln units	South Korea	2.471444
2001	mln units	Spain	2.211172
2001	mln units	Sweden	0.251035
2001	mln units	Taiwan	0.195109
2001	mln units	Thailand	0.156066
2001	mln units	Turkey	0.175343
2001	mln units	Ukraine	0.024995
2001	mln units	United Kingdom	1.492365
2001	mln units	United States	4.879119
2001	mln units	Uzbekistan	0.032425
2002	mln units	Argentina	0.11134
2002	mln units	Australia	0.306876
2002	mln units	Austria	0.132768
2002	mln units	Belgium	0.936903
2002	mln units	Brazil	1.520285
2002	mln units	Canada	1.369042
2002	mln units	China	1.101696
2002	mln units	Colombia	0.069
2002	mln units	Czech Republic	0.441312
2002	mln units	Egypt	0.027422
2002	mln units	Finland	0.041068
2002	mln units	France	3.292797
2002	mln units	Germany	5.123238
2002	mln units	Hungary	0.138239
2002	mln units	India	0.703948
2002	mln units	Indonesia	0.193492
2002	mln units	Iran	0.439116
2002	mln units	Italy	1.125769
2002	mln units	Kazakhstan	-0.278000543285865
2002	mln units	Japan	8.618354
2002	mln units	Malaysia	0.38
2002	mln units	Mexico	0.960097
2002	mln units	Morocco	0.370680272082267
2002	mln units	Netherlands	0.182368
2002	mln units	Poland	0.287534
2002	mln units	Portugal	0.182573
2002	mln units	Romania	0.065266
2002	mln units	Russia	0.980061
2002	mln units	Serbia	0.010271
2002	mln units	Slovakia	0.225442
2002	mln units	Slovenia	0.126661
2002	mln units	South Africa	0.276499
2002	mln units	South Korea	2.651273
2002	mln units	Spain	2.266902
2002	mln units	Sweden	0.237975
2002	mln units	Taiwan	0.231506
2002	mln units	Thailand	0.169321
2002	mln units	Turkey	0.204198
2002	mln units	Ukraine	0.050393
2002	mln units	United Kingdom	1.629934
2002	mln units	United States	5.018777
2002	mln units	Uzbekistan	0.022705
2003	mln units	Argentina	0.109364
2003	mln units	Australia	0.365611
2003	mln units	Austria	0.11865
2003	mln units	Belgium	0.791703
2003	mln units	Brazil	1.505139
2003	mln units	Canada	1.340175
2003	mln units	China	2.018875
2003	mln units	Colombia	0.069
2003	mln units	Czech Republic	0.436279
2003	mln units	Egypt	0.032581
2003	mln units	Finland	0.019226
2003	mln units	France	3.220329
2003	mln units	Germany	5.145403
2003	mln units	Hungary	0.122338
2003	mln units	India	0.907968
2003	mln units	Indonesia	0.203196
2003	mln units	Iran	0.51693
