Date	Unit	Manufacturer	Volume
1998	mln units	Anhui jac automotive	0.0757938131177068
1998	mln units	Ashok leyland	-0.0507660108462859
1998	mln units	Avtovaz	0.6
1998	mln units	Baic	0.033378968670279
1998	mln units	Beijing automotive	0.355662133345456
1998	mln units	Bmw	0.634422692836802
1998	mln units	Brilliance	0.201450125006793
1998	mln units	Byd	0.0601390251307247
1998	mln units	Chana automobile	0.929195
1998	mln units	Changan	-0.0369197338425732
1998	mln units	CHANGFENG	0.1263232
1998	mln units	Chen zhou gonow nanyan chifeng motor vehicle	0.049039
1998	mln units	CHENGDU DAYUN	-0.280469734902995
1998	mln units	Chenzhou ji'ao	0.051008
1998	mln units	Chery	0.321105303679605
1998	mln units	CHINA NATIONAL HEAVY DUTY TRUCK	-0.665453447091976
1998	mln units	Chongqing lifan  motor co.	0.104529869863353
1998	mln units	Chrysler	0.748337650407828
1998	mln units	Cnaic (changhe&harbin)	0.1345904
1998	mln units	Daewoo	0.727
1998	mln units	Daihatsu	0.764762334646532
1998	mln units	Daimler ag	1.925
1998	mln units	Dongfeng  mc	0.257891026668517
1998	mln units	EICHER	-0.054349309128488
1998	mln units	Faw	0.393783753746173
1998	mln units	Fiat-iveco (with irisbus)	2.303
1998	mln units	Ford (with us makes-volvo cars- jaguar)	3.6
1998	mln units	Fuji (subaru)	0.46
1998	mln units	Gaz	0.1
1998	mln units	Geely	0.207149964499667
1998	mln units	General motors (with us makes-opel-vauxhall)	5.09
1998	mln units	Great wall	0.0559906381739568
1998	mln units	Guangzhou auto industry	0.06299075683162
1998	mln units	Guihang youngman lotus	0.0651994
1998	mln units	Hafei motor	0.154377
1998	mln units	Haima cars	0.094932
1998	mln units	Harbin hafei	0.278828
1998	mln units	Hebei zhongxing	0.206639
1998	mln units	Hindustan	0.020467
1998	mln units	Hino	
1998	mln units	Honda	2.219
1998	mln units	Hunan jiangnan automobile manufacturing co	0.135648228755975
1998	mln units	Hyundai	0.704
1998	mln units	Ijmach avto	0.0705573360025706
1998	mln units	Iran khodro	0.124827297176283
1998	mln units	Isuzu	0.046
1998	mln units	Jac	0.269109562968974
1998	mln units	Jiangxi changhe	0.136739
1998	mln units	Kamaz	0.0338277706979228
1998	mln units	Kia	0.282
1998	mln units	Kuozui	-0.185912723769913
1998	mln units	Luaz	0.088316
1998	mln units	Mahindra	0.0563807540131989
1998	mln units	Mazda	0.818
1998	mln units	Mg rover	0.194822639956697
1998	mln units	Mitsubishi	1.085
1998	mln units	Nanjing auto	0.0994689999999999
1998	mln units	Nissan	2.089
1998	mln units	Paccar	0.147089
1998	mln units	Perodua	0.07
1998	mln units	Porsche	0.0537626965040487
1998	mln units	Proton	0.096
1998	mln units	Psa	1.83
1998	mln units	Qingling motor	0.05012
1998	mln units	Renault	1.943
1998	mln units	Rongcheng huatai	0.0812993185682715
1998	mln units	Roslada	0.0319414779039044
1998	mln units	Saic	0.0538188555693403
1998	mln units	Saipa	0.678140947134843
1998	mln units	Samsung	0.042
1998	mln units	Scania	
1998	mln units	Shangdong kaima	-0.3987585
1998	mln units	Shannxi	0.0685666720568848
1998	mln units	South east (fujian)	0.0913544562692677
1998	mln units	Ssangyong	0.033
1998	mln units	Suzuki	1.058
1998	mln units	Tata	0.0729697004934627
1998	mln units	Toyota	4.2
1998	mln units	Uaz	0.0402495034585636
1998	mln units	Volkswagen	4.506
1998	mln units	Volvo	0.399
1998	mln units	XIAMEN KING LONG	0.0789718
1998	mln units	Yuejin	0.002
1998	mln units	ZHENGZHOU YUTONG	0.0678009999999999
1998	mln units	Ziyang nanjun	0.07247
1998	mln units	GAC	0.51387
1998	mln units	LEYLAND TRUCKS	0.059795
1998	mln units	NAVISTAR	0.068258
1998	mln units	TESLA	0.101027
1999	mln units	Anhui jac automotive	0.0757938131177068
1999	mln units	Ashok leyland	-0.0398660101855974
1999	mln units	Avtovaz	0.718
1999	mln units	Baic	0.033378968670279
