Импортеры	стоимость Экспорта в 2021	Доля экспорта в 2021
Всего	1433595	100
Казахстан	565321	39,433801
Беларусь	532390	37,1367088
Узбекистан	68785	4,79807756
Кыргызстан	64325	4,48697156
Азербайджан	54232	3,7829373
Германия	28115	1,9611536
Таджикистан	23344	1,62835389
Армения	20397	1,42278677
Чехия	9234	0,64411497
Польша	6063	0,42292279
Боливия (Многонациональное Государство)	5537	0,38623182
Китай, Специальный административный район Гонконг	5323	0,37130431
Латвия	4524	0,3155703
Литва	4284	0,29882917
Чили	3674	0,2562788
