Экспортеры	стоимость Импорта в 2021	Доля импорта в 2021
Всего	12102364	100
Япония	2865919	23,6806545
Республика Корея	2550152	21,0715196
Германия	2156081	17,8153706
Китай	1518341	12,5458216
Словакия	772105	6,37978663
Соединенное Королевство Великобритании и Северной Ирландии	470356	3,88648036
Беларусь	398974	3,29666171
Соединенные Штаты Америки	300509	2,48306033
Венгрия	164401	1,35842055
Таиланд	150163	1,24077412
Швеция	138386	1,14346255
Финляндия	107211	0,88586825
Мексика	101884	0,84185205
Испания	98070	0,81033755
Италия	61272	0,50628125
