Категория товара	Количество экспортирующая компаний, доступных в Trade Map
Automobiles and other motor vehicles	697
Motor vehicles and passenger car bodies	125
New and used car dealers	204
Travel trailers and campers	35
Автозапчасти, детали, узлы и запасные части для трансмиссий автомобилей и автотранспортных средств	79
Автомобили легковые и пассажирские	72
Автотранспортные средства, автомобили, запасные части (автозапчасти) и принадлежности (торговые поставки)	139
Велосипеды, велосипеды с мотором, самокаты	4
Грузовые автомобили	72
Инвалидные кресла и их запасные части и принадлежности	3
Мототехника, мотоциклы, мопеды, мотороллеры и скутеры, персональные транспортные средства	3
Транспортные средства для инвалидов	3
Шасси автомобилей и автотранспортных средств	10
