Код	Наименование товара	Стоимость экспорта в 2012	Стоимость экспорта в 2013	Стоимость экспорта в 2014	Стоимость экспорта в 2015	Стоимость экспорта в 2016	Стоимость экспорта в 2017	Стоимость экспорта в 2018	Стоимость экспорта в 2019	Стоимость экспорта в 2020	Стоимость экспорта в 2021
870323	Транспортные средства с двигателем внутреннего сгорания с искровым зажиганием и с возвратно-поступат. ...	832053	1276745	1250208	861189	748764	855734	910840	1091663	723844	1016416
870324	Транспортные средства с двигателем внутреннего сгорания с искровым зажиганием и с возвратно-поступательным ...	12589	41454	66296	59716	107875	74907	103309	103841	90245	125982
870322	Транспортные средства с двигателем внутреннего сгорания с искровым зажиганием и с возвратно-поступат. ...	126089	122720	87020	50991	53352	201501	94655	142481	56851	97470
870333	Прочие транспортные средства с двигателем внутреннего сгорания с воспламенением от сжатия (дизелем ...	13908	21187	37931	76738	143771	82728	82698	93371	48408	44525
870340	Транспортные средства, с рабочим объемом цилиндров двигателя внутреннего сгорания не более ...	0	0	0	0	0	240	239	3283	12718	38728
870332	Прочие транспортные средства с двигателем внутреннего сгорания с воспламенением от сжатия (дизелем ...	4961	14015	12390	10813	19721	85174	67011	128707	32342	30430
870321	Транспортные средства с двигателем внутреннего сгорания с искровым зажиганием и с возвратно-поступательным ...	668	2372	2134	1961	4533	3622	7127	20391	7615	14734
870331	Прочие транспортные средства с двигателем внутреннего сгорания с воспламенением от сжатия ...	524	3333	5667	2933	9457	9702	9884	9270	3819	13265
870310	Моторные транспортные средства, специально предназначенные для движения по снегу; специальные ...	3595	4686	4169	2281	2053	3983	4881	2982	2360	4818
870380	Транспортные средства, приводимые в движение только электрическим двигателем, прочие:	0	0	0	0	0	41	305	1735	1774	4578
870390	Прочие автомобили легковые и прочие моторные транспортные средства, предназначенные главным ...	773	10508	28795	26402	7994	2424	5903	5016	6760	4475
870360	Транспортные средства, с рабочим объемом цилиндров двигателя внутреннего сгорания не более ...	0	0	0	0	0	97	749	1084	263	750
870350	Транспортные средства, с рабочим объемом цилиндров двигателя внутреннего сгорания не более ...	0	0	0	0	0	55	113	10	4	138
870370	Транспортные средства, прочие, с рабочим объемом цилиндров двигателя внутреннего сгорания не ...	0	0	0	0	0	0	69	50	118	5
