Код	Наименование товара	Стоимость Импорта в 2012	Стоимость Импорта в 2013	Стоимость Импорта в 2014	Стоимость Импорта в 2015	Стоимость Импорта в 2016	Стоимость Импорта в 2017	Стоимость Импорта в 2018	Стоимость Импорта в 2019	Стоимость Импорта в 2020	Стоимость Импорта в 2021
870323	Транспортные средства с двигателем внутреннего сгорания с искровым зажиганием и с возвратно-поступат. ...	10875766	8804018	6661388	2730303	2230445	2416823	2709405	3129962	1873246	2409822
870333	Прочие транспортные средства с двигателем внутреннего сгорания с воспламенением от сжатия (дизелем ...	2360160	2292731	1921608	1456138	1751593	1797279	1846796	1810520	1315185	1546298
870324	Транспортные средства с двигателем внутреннего сгорания с искровым зажиганием и с возвратно-поступательным ...	3305970	2687465	2313114	1306391	1342013	1168387	1326764	1280240	805144	1261525
870340	Транспортные средства, с рабочим объемом цилиндров двигателя внутреннего сгорания не более ...	0	0	0	0	0	48535	99497	166865	312997	934088
870322	Транспортные средства с двигателем внутреннего сгорания с искровым зажиганием и с возвратно-поступат. ...	1330373	1273543	734585	165500	175336	309082	345580	471388	374100	836299
870332	Прочие транспортные средства с двигателем внутреннего сгорания с воспламенением от сжатия (дизелем ...	1775684	1415623	1161644	571657	458289	858020	797612	900795	569439	687938
870380	Транспортные средства, приводимые в движение только электрическим двигателем, прочие:	0	0	0	0	0	465	3117	9065	37601	97439
870321	Транспортные средства с двигателем внутреннего сгорания с искровым зажиганием и с возвратно-поступательным ...	339933	287338	201100	61590	36820	49730	55989	46827	60662	97069
870310	Моторные транспортные средства, специально предназначенные для движения по снегу; специальные ...	250627	230408	147504	62666	31437	41235	60106	66476	51554	80362
870360	Транспортные средства, с рабочим объемом цилиндров двигателя внутреннего сгорания не более ...	0	0	0	0	0	5477	11014	14426	12106	41532
870350	Транспортные средства, с рабочим объемом цилиндров двигателя внутреннего сгорания не более ...	0	0	0	0	0	2	4	5	14302	4472
870370	Транспортные средства, прочие, с рабочим объемом цилиндров двигателя внутреннего сгорания не ...	0	0	0	0	0	0	0	0	0	1775
870331	Прочие транспортные средства с двигателем внутреннего сгорания с воспламенением от сжатия ...	125	1516	7391	526	617	2355	5115	9450	341	58
870390	Прочие автомобили легковые и прочие моторные транспортные средства, предназначенные главным ...	2835	4238	13534	1160	821	93	31	85	0	12
