Год	Ед. Изм.	Страна	Объем
2004	млн штук	Джибути	19.1843738333333
2004	млн штук	Соединенные Штаты Америки	6.622419
2004	млн штук	Германия	2.594907
2004	млн штук	Франция	1.74352
2004	млн штук	Пакистан	0.100692
2004	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	2.659434
2004	млн штук	Бельгия	1.25474
2004	млн штук	Италия	2.049729
2004	млн штук	Канада	1.166305
2004	млн штук	Австралия	0.565901
2004	млн штук	Турция	0.329006
2004	млн штук	Китай	0.163951
2004	млн штук	Нидерланды	0.539895
2004	млн штук	Швеция	0.295437
2004	млн штук	Польша	0.353222
2004	млн штук	Греция	0.30236
2004	млн штук	Филиппины	0.013641
2004	млн штук	Нигерия	817.169604222222
2004	млн штук	Австрия	0.363396
2004	млн штук	Япония	0.290014
2004	млн штук	Португалия	0.230049
2004	млн штук	Словакия	0.08101
2004	млн штук	Швейцария	0.281654
2004	млн штук	Республика Корея	0.045854
2004	млн штук	Украина	0.062942
2004	млн штук	Южная Африка	0.335253
2004	млн штук	Таиланд	0.049287
2004	млн штук	Ирландия	0.198577
2004	млн штук	Чехия	0.249866
2004	млн штук	Бразилия	0.05288
2004	млн штук	Новая Зеландия	0.132494
2004	млн штук	Сербия	0.100545777777778
2004	млн штук	Дания	0.190699
2004	млн штук	Гватемала	0.027971
2004	млн штук	Израиль	0.142107
2004	млн штук	Китайский Тайбэй	0.058083
2004	млн штук	Люксембург	0.089862
2004	млн штук	Чили	0.138619
2004	млн штук	Румыния	0.075898
2004	млн штук	Марокко	0.036105
2004	млн штук	Кыргызстан	0.001234
2004	млн штук	Объединенная Республика Танзания	0.005107
2004	млн штук	Норвегия	0.169515
2004	млн штук	Казахстан	0.193587
2004	млн штук	Перу	0.033609
2004	млн штук	Аргентина	0.173339
2004	млн штук	Колумбия	0.102607
2004	млн штук	Финляндия	0.191738
2004	млн штук	Доминиканская Республика	0.08639825
2004	млн штук	Зимбабве	0.004765
2004	млн штук	Индонезия	0.054097
2004	млн штук	Эквадор	0.025547
2004	млн штук	Словения	0.133358
2004	млн штук	Гондурас	0.005171
2004	млн штук	Литва	0.260803
2004	млн штук	Малайзия	0.302652
2004	млн штук	Босния и Герцеговина	0.012595
2004	млн штук	Хорватия	0.103496
2004	млн штук	Эфиопия	0.006259
2004	млн штук	Мьянма	0.0249814642857143
2004	млн штук	Мозамбик	0.071974
2004	млн штук	Египет	0.01196
2004	млн штук	Болгария	0.147242
2004	млн штук	Кения	0.02139
2004	млн штук	Сальвадор	0.009202
2004	млн штук	Азербайджан	0.021432
2004	млн штук	Коста-Рика	0.017142
2004	млн штук	Лесото	0.0198595263157895
2004	млн штук	Таджикистан	0.0276134
2004	млн штук	Панама	0.016173
2004	млн штук	Армения	0.002271
2004	млн штук	Парагвай	0.004087
2004	млн штук	Монголия	0.012933
2004	млн штук	Демократическая Республика Конго	0.0334861111111111
2004	млн штук	Тунис	0.032147
2004	млн штук	Замбия	0.00318
2004	млн штук	Китай, Специальный административный район Гонконг	0.07502
2004	млн штук	Ямайка	0.018798
2004	млн штук	Эстония	0.046136
2004	млн штук	Кипр	0.054508
2004	млн штук	Иордания	0.031968
2004	млн штук	Боливия (Многонациональное Государство)	0.004548
2004	млн штук	Сенегал	0.003879
2004	млн штук	Кот-д'Ивуар	0.007552
2004	млн штук	Гана	0.040945
2004	млн штук	Уганда	0.158559
2004	млн штук	Камбоджа	0.00222
2004	млн штук	Уругвай	0.006586
2004	млн штук	Северная Македония	0.020775
2004	млн штук	Исландия	0.019663
2004	млн штук	Буркина-Фасо	0.002275
2004	млн штук	Багамские Острова	0.031682
2004	млн штук	Латвия	0.024359
2004	млн штук	Ботсвана	0.009515
2004	млн штук	Сингапур	0.111126
2004	млн штук	Черногория	0.0386578333333333
2004	млн штук	Бахрейн	0.025534
2004	млн штук	Маврикий	0.010361
2004	млн штук	Мавритания	0.002279
2004	млн штук	Республика Молдова	0.002723
2004	млн штук	Гайана	0.003543
2004	млн штук	Индия	0.006835
2004	млн штук	Мальта	0.011803
2004	млн штук	Никарагуа	0.003287
2004	млн штук	Тринидад и Тобаго	0.01966
2004	млн штук	Центральноафриканская Республика	0.00291283333333333
2004	млн штук	Габон	0.002497
2004	млн штук	Нигер	0.001792
2004	млн штук	Мадагаскар	0.001413
2004	млн штук	Белиз	0.00066
2004	млн штук	Гамбия	0.011908
2004	млн штук	Бруней-Даруссалам	0.014068
2004	млн штук	Малави	0.001429
2004	млн штук	Либерия	0.00805342857142857
2004	млн штук	Андорра	0.007476
2004	млн штук	Суринам	0.002443
2004	млн штук	Барбадос	0.006508
2004	млн штук	Тимор-Лешти	0.00041
2004	млн штук	Фиджи	0.002023
2004	млн штук	Эсватини	0.033616
2004	млн штук	Того	0.000596
2004	млн штук	Аруба	0.00364742105263158
2004	млн штук	Антигуа и Барбуда	0.00357168421052632
2004	млн штук	Французская Полинезия	0.008237
2004	млн штук	Мальдивские Острова	0.000441
2004	млн штук	Остров Норфолк	4.6e-05
2004	млн штук	Сейшельские Острова	0.000724
2004	млн штук	Кабо-Верде	0.000756
2004	млн штук	Сент-Винсент и Гренадины	0.001085
2004	млн штук	Зоны Свободной Торговли	0.002096
2004	млн штук	Доминика	0.000239
2004	млн штук	Гренада	0.001436
2004	млн штук	Шри-Ланка	0.058324
2004	млн штук	Бутан	0.00300039473684211
2004	млн штук	Грузия	0.02547
2004	млн штук	Гуам	5.95294117647059e-05
2004	млн штук	Сан-Томе и Принсипи	0.00032
2004	млн штук	Фолклендские (Мальвинские) острова	0.000149
2004	млн штук	остров Рождества	3.4e-05
2004	млн штук	Монтсеррат	6.8e-05
2004	млн штук	Острова Уоллис и Футуна	2.4e-05
2004	млн штук	Британская территория в Индийском океане	7e-06
2004	млн штук	Южные земли (французская заморская территория)	1.9e-05
2004	млн штук	Бермудские острова	0.00104990909090909
2004	млн штук	Американское Самоа	1.75e-06
2004	млн штук	Ниуэ	7.7e-05
2004	млн штук	Тонга	8.71689773333333
