Год	Ед. Изм.	Страна	Объем
2004	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	0.0739019244318886
2004	млн штук	Грузия	0.0181211849444327
2004	млн штук	Соединенные Штаты Америки	0.283293
2004	млн штук	Канада	0.027336
2004	млн штук	Испания	0.012477
2004	млн штук	Италия	0.000175
2004	млн штук	Бахрейн	0.00197
2004	млн штук	Новая Зеландия	0.002575
2004	млн штук	Намибия	0.00299669205934066
2004	млн штук	Иордания	0.003294
2004	млн штук	Пакистан	0.00012
2004	млн штук	Люксембург	0.000519821050608415
2004	млн штук	Гана	0.000241
2004	млн штук	Армения	2.8e-05
2004	млн штук	Республика Молдова	0.000189
2004	млн штук	Эстония	0.012097
2004	млн штук	Кипр	0.007897
2004	млн штук	Кения	0.00012
2004	млн штук	Фиджи	0.000576583599452502
2004	млн штук	Того	0.000445359645726128
2004	млн штук	Буркина-Фасо	5.32000000044338e-05
2004	млн штук	Гренада	3.1e-05
2004	млн штук	Замбия	2.4e-05
2004	млн штук	Южная Африка	0.000928808276401089
2004	млн штук	Антигуа и Барбуда	7.94358503131993e-05
2004	млн штук	Шри-Ланка	0.00368214793911684
2004	млн штук	Маврикий	0.000651839536358779
2004	млн штук	Мадагаскар	2.9e-05
2004	млн штук	Гайана	4.25067720777378e-05
2004	млн штук	Боливия (Многонациональное Государство)	1.4e-05
2004	млн штук	Бенин	1.4e-05
2004	млн штук	Белиз	1.8e-05
2004	млн штук	Ботсвана	1.22352970441436e-05
2004	млн штук	Барбадос	3.7e-05
2004	млн штук	Зимбабве	4e-06
2004	млн штук	Монтсеррат	1e-05
2004	млн штук	Китай, Специальный административный район Макао	0.000607395162165549
2004	млн штук	Малави	2.1e-05
2004	млн штук	Объединенная Республика Танзания	0.000119
2004	млн штук	Суринам	1e-06
2004	млн штук	Эсватини	0.001225
2004	млн штук	Таиланд	0.000331
2004	млн штук	Тонга	2.99997499747907e-06
2004	млн штук	Тринидад и Тобаго	4.81366089712367e-05
2004	млн штук	Объединенные Арабские Эмираты	0.0740093264808105
2004	млн штук	Уганда	0.049198
2004	млн штук	Узбекистан	5.64553554109417e-06
2004	млн штук	Венесуэла (Боливарианская Республика)	0.000399333333333333
2004	млн штук	Йемен	0.000402
2004	млн штук	Мальдивские Острова	3e-06
2004	млн штук	Мали	5.10010007890039e-05
2004	млн штук	Кувейт	0.0597186961120224
2004	млн штук	Кыргызстан	0.000134308617242917
2004	млн штук	Ливан	0.012203
2004	млн штук	Лесото	4.00038091071809e-05
2004	млн штук	Китайский Тайбэй	0.000338504339302864
2004	млн штук	Монголия	6e-06
2004	млн штук	Мозамбик	5e-06
2004	млн штук	Оман	0.0126973084285975
2004	млн штук	Черногория	2e-06
2004	млн штук	Судан	4.8e-05
2004	млн штук	Судан (до 2012)	7.4e-05
2004	млн штук	Новая Каледония	0.000121
2004	млн штук	Нигер	1.52e-05
2004	млн штук	Панама	0.00079908569307918
2004	млн штук	Тимор-Лешти	0.000522
2004	млн штук	Катар	0.022714
2004	млн штук	Руанда	4.1e-05
2004	млн штук	Сент-Китс и Невис	2e-05
2004	млн штук	Сент-Люсия	3.9e-05
2004	млн штук	Сент-Винсент и Гренадины	1.4e-05
2004	млн штук	Сан-Томе и Принсипи	2.2e-06
2004	млн штук	Саудовская Аравия	0.022095
2004	млн штук	Сенегал	0.000447
2004	млн штук	Сейшельские Острова	6.61113171398792e-06
2004	млн штук	Сьерра-Леоне	8.30000000000002e-05
2004	млн штук	Багамские Острова	0.000544
2004	млн штук	Албания	2e-06
2004	млн штук	Ангола	2.4e-06
2004	млн штук	Соломоновы Острова	4e-06
2004	млн штук	Мьянма	5e-06
2004	млн штук	Бурунди	0.00024782257354474
2004	млн штук	Колумбия	-0.016892
2004	млн штук	Демократическая Республика Конго	1.65070669331587e-05
2004	млн штук	Куба	1.1e-05
2004	млн штук	Доминика	4e-06
2004	млн штук	Доминиканская Республика	-3.65000197639659e-05
2004	млн штук	Эфиопия	1.24976369697574e-05
2004	млн штук	Джибути	0.000712
2004	млн штук	Кабо-Верде	8.24965234251123e-06
2004	млн штук	Гондурас	5e-06
2004	млн штук	Китай, Специальный административный район Гонконг	0.034616
2004	млн штук	Ямайка	0.000139
2004	млн штук	Гвинея	4.04e-05
2004	млн штук	Гамбия	4e-06
2004	млн штук	Государство Палестина	2.78069556108722e-05
2005	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	0.0739019244318886
2005	млн штук	Грузия	0.0181211849444327
2005	млн штук	Соединенные Штаты Америки	0.407428
2005	млн штук	Канада	0.023733
2005	млн штук	Испания	0.006456
2005	млн штук	Италия	0.000189
