Год	Ед. Изм.	Страна	Объем
2004	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	0.184160166666667
2004	млн штук	Грузия	0.0452878
2004	млн штук	Соединенные Штаты Америки	0.283293
2004	млн штук	Канада	0.027336
2004	млн штук	Испания	0.012477
2004	млн штук	Италия	0.000175
2004	млн штук	Бахрейн	0.00197
2004	млн штук	Новая Зеландия	0.002575
2004	млн штук	Намибия	0.00363620833333333
2004	млн штук	Иордания	0.003294
2004	млн штук	Пакистан	0.00012
2004	млн штук	Люксембург	0.0005198125
2004	млн штук	Гана	0.000394
2004	млн штук	Армения	2.8e-05
2004	млн штук	Республика Молдова	0.000189
2004	млн штук	Эстония	0.012097
2004	млн штук	Кипр	0.007897
2004	млн штук	Кения	0.00012
2004	млн штук	Фиджи	0.000339210526315789
2004	млн штук	Того	0.00019796875
2004	млн штук	Буркина-Фасо	6.1e-05
2004	млн штук	Гренада	3.1e-05
2004	млн штук	Замбия	2.4e-05
2004	млн штук	Южная Африка	0.000298571428571429
2004	млн штук	Антигуа и Барбуда	5.22631578947368e-05
2004	млн штук	Шри-Ланка	0.00047075
2004	млн штук	Маврикий	0.000170473684210526
2004	млн штук	Мадагаскар	2.9e-05
2004	млн штук	Гайана	1.9e-05
2004	млн штук	Боливия (Многонациональное Государство)	1.4e-05
2004	млн штук	Бенин	1.4e-05
2004	млн штук	Белиз	1.8e-05
2004	млн штук	Ботсвана	1.22307692307692e-05
2004	млн штук	Барбадос	3.7e-05
2004	млн штук	Зимбабве	4e-06
2004	млн штук	Монтсеррат	1e-05
2004	млн штук	Китай, Специальный административный район Макао	0.000825708333333333
2004	млн штук	Малави	2.1e-05
2004	млн штук	Объединенная Республика Танзания	0.000119
2004	млн штук	Суринам	1e-06
2004	млн штук	Эсватини	0.001225
2004	млн штук	Таиланд	0.000300666666666667
2004	млн штук	Тонга	0.000288214285714286
2004	млн штук	Тринидад и Тобаго	4.81333333333333e-05
2004	млн штук	Объединенные Арабские Эмираты	0.353517764705882
2004	млн штук	Уганда	0.049198
2004	млн штук	Узбекистан	7.5e-06
2004	млн штук	Венесуэла (Боливарианская Республика)	9.88e-05
2004	млн штук	Йемен	0.000402
2004	млн штук	Мальдивские Острова	3e-06
2004	млн штук	Мали	0.000101357142857143
2004	млн штук	Кувейт	0.0707392352941177
2004	млн штук	Кыргызстан	0.000343176470588235
2004	млн штук	Ливан	0.00359966666666667
2004	млн штук	Лесото	0.000119794117647059
2004	млн штук	Китайский Тайбэй	0.00033975
2004	млн штук	Монголия	8.33333333333333e-06
2004	млн штук	Мозамбик	5e-06
2004	млн штук	Оман	0.0126972857142857
2004	млн штук	Черногория	1.91666666666667e-06
2004	млн штук	Судан	4.8e-05
2004	млн штук	Судан (до 2012)	7.4e-05
2004	млн штук	Новая Каледония	0.000121
2004	млн штук	Нигер	1.55e-05
2004	млн штук	Панама	0.000459266666666667
2004	млн штук	Тимор-Лешти	0.000522
2004	млн штук	Катар	0.0210136666666667
2004	млн штук	Руанда	4.1e-05
2004	млн штук	Сент-Китс и Невис	2e-05
2004	млн штук	Сент-Люсия	3.9e-05
2004	млн штук	Сент-Винсент и Гренадины	1.4e-05
2004	млн штук	Сан-Томе и Принсипи	1.5e-06
2004	млн штук	Саудовская Аравия	0.022095
2004	млн штук	Сенегал	0.000447
2004	млн штук	Сейшельские Острова	6.61111111111111e-06
2004	млн штук	Сьерра-Леоне	6.86666666666667e-05
2004	млн штук	Багамские Острова	0.000544
2004	млн штук	Афганистан	
2004	млн штук	Албания	2e-06
2004	млн штук	Ангола	3e-06
2004	млн штук	Соломоновы Острова	5.75e-06
2004	млн штук	Мьянма	5e-06
2004	млн штук	Бурунди	0.000247735294117647
2004	млн штук	Колумбия	0.005328
2004	млн штук	Коморские Острова	
2004	млн штук	Демократическая Республика Конго	6.625e-06
2004	млн штук	Куба	2.3e-05
2004	млн штук	Доминика	4e-06
2004	млн штук	Доминиканская Республика	5.125e-06
2004	млн штук	Эфиопия	3.84285714285714e-05
2004	млн штук	Джибути	0.000712
2004	млн штук	Кабо-Верде	8.25e-06
2004	млн штук	Гондурас	5e-06
2004	млн штук	Китай, Специальный административный район Гонконг	0.034616
2004	млн штук	Ямайка	0.000139
2004	млн штук	Гвинея	6.35e-05
2004	млн штук	Гамбия	4e-06
2004	млн штук	Государство Палестина	2.78125e-05
2005	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	0.184160166666667
2005	млн штук	Грузия	0.0452878
2005	млн штук	Соединенные Штаты Америки	0.407428
2005	млн штук	Канада	0.023733
2005	млн штук	Испания	0.006456
2005	млн штук	Италия	0.000189
2005	млн штук	Бахрейн	0.004081
2005	млн штук	Новая Зеландия	0.001926
2005	млн штук	Намибия	0.00363620833333333
2005	млн штук	Иордания	0.002093
2005	млн штук	Пакистан	0.000104
2005	млн штук	Люксембург	0.0005198125
2005	млн штук	Гана	0.000394
2005	млн штук	Армения	5.4e-05
2005	млн штук	Республика Молдова	4.7e-05
2005	млн штук	Эстония	0.002756
2005	млн штук	Кипр	0.006644
2005	млн штук	Кения	0.000168
2005	млн штук	Фиджи	2.2e-05
2005	млн штук	Того	0.00019796875
2005	млн штук	Буркина-Фасо	6.1e-05
2005	млн штук	Гренада	2.2e-05
2005	млн штук	Замбия	3.1e-05
2005	млн штук	Южная Африка	0.000298571428571429
2005	млн штук	Антигуа и Барбуда	7.3e-05
2005	млн штук	Шри-Ланка	0.00047075
2005	млн штук	Маврикий	0.000771
2005	млн штук	Мадагаскар	6.9e-05
2005	млн штук	Гайана	1.9e-05
2005	млн штук	Боливия (Многонациональное Государство)	3.3e-05
2005	млн штук	Бенин	1e-05
2005	млн штук	Белиз	1.6e-05
2005	млн штук	Ботсвана	1.22307692307692e-05
2005	млн штук	Барбадос	5.6e-05
2005	млн штук	Зимбабве	3e-06
2005	млн штук	Монтсеррат	1e-05
2005	млн штук	Китай, Специальный административный район Макао	0.000566
2005	млн штук	Малави	3.3e-05
2005	млн штук	Объединенная Республика Танзания	7.7e-05
2005	млн штук	Суринам	5e-06
2005	млн штук	Эсватини	1.24844
2005	млн штук	Таиланд	0.000300666666666667
2005	млн штук	Тонга	0.000288214285714286
2005	млн штук	Тринидад и Тобаго	4.81333333333333e-05
2005	млн штук	Объединенные Арабские Эмираты	0.073995
2005	млн штук	Уганда	0.001712
2005	млн штук	Узбекистан	7.5e-06
2005	млн штук	Венесуэла (Боливарианская Республика)	9.88e-05
2005	млн штук	Йемен	0.001646
2005	млн штук	Мальдивские Острова	3e-06
2005	млн штук	Мали	0.000101357142857143
2005	млн штук	Кувейт	0.0707392352941177
2005	млн штук	Кыргызстан	0.000179
2005	млн штук	Ливан	0.00359966666666667
2005	млн штук	Лесото	4e-05
2005	млн штук	Китайский Тайбэй	0.00033975
2005	млн штук	Монголия	8.33333333333333e-06
2005	млн штук	Мозамбик	5e-06
2005	млн штук	Оман	0.0126972857142857
2005	млн штук	Черногория	1.91666666666667e-06
2005	млн штук	Судан	4.8e-05
