Год	Ед. Изм.	Страна	Объем
2004	млрд долл	Германия	62.285142
2004	млрд долл	Япония	66.627391
2004	млрд долл	Республика Корея	23.722775
2004	млрд долл	Мексика	5.415524
2004	млрд долл	Китай	-4.284794
2004	млрд долл	Словакия	3.218569
2004	млрд долл	Чехия	2.526206
2004	млрд долл	Испания	4.572495
2004	млрд долл	Венгрия	-0.598053
2004	млрд долл	Таиланд	0.7515
2004	млрд долл	Индия	0.650151
2004	млрд долл	Индонезия	-0.439931
2004	млрд долл	Марокко	-0.496456
2004	млрд долл	Швеция	3.272097
2004	млрд долл	Румыния	-1.087654
2004	млрд долл	Южная Африка	-0.110982
2004	млрд долл	Словения	0.301365
2004	млрд долл	Токелау	-7e-06
2004	млрд долл	Корейская Народно-Демократическая Республика	-0.00568
2004	млрд долл	Ангилья	-0.002107
2004	млрд долл	Американское Самоа	7.5e-05
2004	млрд долл	Ниуэ	0.000132
2004	млрд долл	Суда и бункеры	-0.000538
2004	млрд долл	Южные земли (французская заморская территория)	0.000238
2004	млрд долл	Западная Сахара	-3.7e-05
2004	млрд долл	Острова Уоллис и Футуна	-0.000295
2004	млрд долл	Британская территория в Индийском океане	-0.000107
2004	млрд долл	Эритрея	-0.006457
2004	млрд долл	Тувалу	-5.9e-05
2004	млрд долл	Остров Святой Елены	-0.001289
2004	млрд долл	Монтсеррат	-0.001089
2004	млрд долл	Острова Кука	-0.00172036842105263
2004	млрд долл	Кокосовых (Килинг) островов	-0.000103
2004	млрд долл	Остров Норфолк	-0.000226
2004	млрд долл	Науру	-3.4e-05
2004	млрд долл	остров Рождества	-0.000404
2004	млрд долл	Бонайре, Синт-Эстатиус и Саба	-0.00169663636363636
2004	млрд долл	Кирибати	-0.00120902631578947
2004	млрд долл	Грузия	-0.11246
2004	млрд долл	Сен-Пьер и Микелон	-0.002125
2004	млрд долл	Маршалловы Острова	-0.001742
2004	млрд долл	Палау	-0.00426191666666667
2004	млрд долл	Фолклендские (Мальвинские) острова	-0.00171
