commodity	measure	Unit	Date	Value
Aluminum	nominal US dollars	$/mt	2010	2173.117
Aluminum	nominal US dollars	$/mt	2011	2401.38666666667
Aluminum	nominal US dollars	$/mt	2012	2023.28319284294
Aluminum	nominal US dollars	$/mt	2013	1846.66896845003
Aluminum	nominal US dollars	$/mt	2014	1867.42
Aluminum	nominal US dollars	$/mt	2015	1664.68083333333
Aluminum	nominal US dollars	$/mt	2016	1604.18166666667
Aluminum	nominal US dollars	$/mt	2017	1967.65416666667
Aluminum	nominal US dollars	$/mt	2018	2108.475
Aluminum	nominal US dollars	$/mt	2019	1794.48833333333
Aluminum	nominal US dollars	$/mt	2020	1703.98666666667
Aluminum	nominal US dollars	$/mt	2021	2472.84833333333
Aluminum	nominal US dollars	$/mt	2022	2705.01916666667
Aluminum	nominal US dollars	$/mt	2023	2255.73916666667
