commodity	measure	Unit	Date	Value
Aluminum	real 2010 US dollars	$/mt	2010	2173.117
Aluminum	real 2010 US dollars	$/mt	2011	2162.6320845341
Aluminum	real 2010 US dollars	$/mt	2012	1835.51047159843
Aluminum	real 2010 US dollars	$/mt	2013	1682.61409425971
Aluminum	real 2010 US dollars	$/mt	2014	1725.09930715935
Aluminum	real 2010 US dollars	$/mt	2015	1700.91022104152
Aluminum	real 2010 US dollars	$/mt	2016	1706.03176291255
Aluminum	real 2010 US dollars	$/mt	2017	2022.46291157022
Aluminum	real 2010 US dollars	$/mt	2018	2069.97349302965
Aluminum	real 2010 US dollars	$/mt	2019	1803.86844926953
Aluminum	real 2010 US dollars	$/mt	2020	1740.53796390875
Aluminum	real 2010 US dollars	$/mt	2021	2260.3732480195
Aluminum	real 2010 US dollars	$/mt	2022	2303.12402440755
Aluminum	real 2010 US dollars	$/mt	2023	1976.98437043529
