Год	Ед. Изм.	Китай	Германия	Соединенные Штаты Америки	Канада	Италия	Российская Федерация	Объединенные Арабские Эмираты	Франция	Нидерланды	Норвегия	Остальные
2010	млрд долл	14.530901	13.651578	10.625016	8.921048	5.837989	6.668975	0	5.02536	4.031972	4.569603	66.979472
2011	млрд долл	18.648585	17.75177	12.975642	9.921832	6.90184	7.739851	0	5.743044	4.827244	5.146973	78.148787
2012	млрд долл	18.641304	15.559977	12.783556	8.58116	6.075721	7.262288	2.073736	5.107665	4.063441	4.346745	72.628585
2013	млрд долл	20.039265	16.212864	13.0532	8.484944	6.366851	7.124584	2.153918	5.26483	4.018382	3.962678	74.697512
2014	млрд долл	22.61547	16.966653	12.736128	8.851104	6.545213	6.325357	4.240782	5.516837	4.886559	4.22197	79.494731
2015	млрд долл	23.819933	15.54096	12.046082	8.231772	5.788956	6.880992	5.290379	4.965157	4.235328	3.520832	72.420906
2016	млрд долл	21.315169	15.164438	12.237317	8.083824	5.745272	5.980102	5.081904	4.872166	4.343742	3.208307	68.40415
2017	млрд долл	22.642422	16.42578	11.588064	9.820037	6.423563	6.673318	6.206409	5.355898	4.847112	4.000372	78.437593
2018	млрд долл	27.077282	17.736745	12.583681	10.007662	7.181224	6.555519	6.379975	5.742248	5.488788	4.189351	90.002361
2019	млрд долл	26.077777	16.485729	10.933314	8.321419	6.551128	5.839023	5.539326	5.216892	4.683363	3.680179	83.204061
2020	млрд долл	24.589848	14.739713	9.380978	8.347719	6.216725	5.463661	4.446737	4.519895	4.276464	3.326807	80.378228
2021	млрд долл	34.711889	18.908307	12.033895	12.183218	8.108526	8.667438	8.149499	6.200648	6.648746	5.21378	118.69443
2022	млрд долл	42.109007	21.417103	14.511112	14.143463	9.546412	10.295655	8.2794	6.94311	7.85701	6.436606	138.248766
2023	млрд долл	34.97773	19.620604	14.277975	12.60612	8.692176	8.346465	7.627237	6.502994	6.438215	4.844402	115.816822
