Год	Ед. Изм.	Соединенные Штаты Америки	Германия	Китай	Мексика	Франция	Италия	Япония	Республика Корея	Нидерланды	Соединенное Королевство Великобритании и Северной Ирландии	Остальные
2010	млрд долл	14.721255	15.678199	8.795536	4.097597	6.398266	5.672986	8.040391	5.160799	4.08241	4.461045	64.390489
2011	млрд долл	16.206445	19.256744	9.772493	5.660897	7.959061	7.086548	9.220225	6.059292	5.469002	5.371247	78.384174
2012	млрд долл	15.969678	16.775834	9.598255	5.541451	6.772309	5.354479	8.276379	5.55171	4.869258	4.394485	73.869039
2013	млрд долл	15.678772	17.12333	8.702562	4.887999	7.015421	5.80556	7.67964	5.726218	4.865803	4.787342	74.856502
2014	млрд долл	17.11446	18.210609	8.03903	5.294781	7.221902	6.106084	8.844401	6.229697	5.819111	5.254871	80.008727
2015	млрд долл	17.866316	16.943124	6.931158	5.481743	6.504862	5.643248	7.964015	5.997146	4.874244	4.89934	76.531821
2016	млрд долл	18.732153	16.559971	5.943351	5.265643	6.305949	5.349692	6.936085	5.421818	4.474792	4.651924	71.353985
2017	млрд долл	23.377819	18.139324	6.616621	5.894078	6.882368	6.283843	8.273635	6.461278	5.164746	5.118079	81.984348
2018	млрд долл	24.218718	19.739888	6.641146	7.031407	7.541424	7.038608	9.350149	6.958228	6.001629	5.52058	95.880068
2019	млрд долл	22.238106	17.403536	5.79667	6.854823	6.964739	6.278906	8.015464	6.296823	5.31383	5.126889	87.503809
2020	млрд долл	19.044666	14.951223	8.147556	5.863134	5.910544	5.298038	6.550466	5.755495	5.014126	4.265413	82.422217
2021	млрд долл	28.738897	21.125879	12.487371	8.716737	8.307818	8.208363	9.628849	8.45866	7.77599	5.411217	114.202577
2022	млрд долл	36.664809	26.760627	11.685868	11.64004	9.683021	10.719142	10.64997	9.753227	9.085657	6.760602	134.229999
2023	млрд долл	28.296236	22.890504	12.346734	9.496241	8.523491	8.517993	8.209637	8.199988	7.535	5.965488	111.754305
